identifier,TopicValue2,Topic,TopicValue,title,Date,Cartoonists,Publisher,NameAuthorities,EQPred_RingKen,Brownlee,KeyJohn,ParkerRobert,CHCHCityCouncil,EnglishSimon,MarryattTony,RingKen,SouthCanterburyFinanceLtd,CERA,AMI,ChristchurchCathedral,BuildingsEarthquakeEffect,Aftershocks,BuildingsRepairReconstruction,CityPlanning,Disasters_PsychologicalAspects,Sewerage,InfrastructureEconomics,Courage,World.Cup,EconomicCondition,mayor_bob_parker_auckland_anderton_local_prime_lower,pike_river_made_toilet_represents_bank_broken_reserve,buildings_people_city_rebuild_heading_building_house,house_jersey_asks_move_neighbour_live_report,rugby_world_cup_ball_buildings_damage_decision_tsunami,people_aftershocks_gambling_wondering_year_show_power,business_cbd_allowed_owners_large_central_point,recovery_cera_portaloo_damage_problems_back_portaloos,red_people_buildings_black_rubble_areas_damage,city_comments_boy_people_rebuild_map_ideas,week_time_rebuilding_contractors_work_party_labour,ring_moon_people_workers_ken_march_port,aftershocks_people_aftershock_liquefaction_house_great_phone,version_word_cathedral_reading_letters_large_home,insurance_finance_billion_government_cost_company_huge,people_couple_reading_months_time_news_council,city_council_people_tony_marryatt_june_pay_rise_large_orange
DCDL-0015605,15.6569821930647,insurance_finance_billion_government_cost_company_huge,0.656982193064667,"Life in the South Island.. 20 September 2010",20/09/2010,"Bromhead, Peter",Marlborough Express (Newspaper),"South Canterbury Finance Ltd (name_authority)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000937207122774133,0.141518275538894,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.0946579194001874,0.656982193064667,0.000937207122774133,0.0946579194001874
DCDL-0015607,1.29596853490659,mayor_bob_parker_auckland_anderton_local_prime_lower,0.295968534906588,"THE LATEST DESIGN IN HOUSING FOR LIVING WITH NATURAL HAZARDS. 18 September 2010",18/09/2010,"Clark, Laurence",Northern advocate (Newspaper),"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295968534906588,0.000983284169124877,0.1976401179941,0.000983284169124877,0.246804326450344,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.148475909537856,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.0993117010816126
DCDL-0015611,13.9740680713128,aftershocks_people_aftershock_liquefaction_house_great_phone,0.974068071312804,"Scott, Thomas, 1947-:'Whoa! Is this another quake?' 21 September 2010",21/09/2010,"Scott, Thomas",Dominion post (Newspaper),"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.974068071312804,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976
DCDL-0015611A,13.9740680713128,aftershocks_people_aftershock_liquefaction_house_great_phone,0.974068071312804,"Scott, Thomas, 1947-:'Whoa! Is this another quake?' 21 September 2010",21/09/2010,"Scott, Thomas",Nelson mail (Newspaper),"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.974068071312804,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976
DCDL-0015616,6.48201438848921,people_aftershocks_gambling_wondering_year_show_power,0.482014388489209,"Canterbury from the air... AFTERSHOCKS. 6 September 2010",06/09/2010,"Nisbet, Alastair",Press (Christchurch, N.Z.) (Newspaper),"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.482014388489209,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.3621103117506,0.00239808153477218,0.122302158273381,0.00239808153477218,0.00239808153477218,0.00239808153477218
DCDL-0015626,15.5149957155099,insurance_finance_billion_government_cost_company_huge,0.514995715509854,""This can't be repaired, it needs to be condemned..." 20 September 2010",21/09/2010,"Hubbard, James",Northern advocate (Newspaper),"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215081405312768,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.0865467009425878,0.000856898029134533,0.000856898029134533,0.172236503856041,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.514995715509854,0.000856898029134533,0.000856898029134533
DCDL-0015627,10.6340694006309,city_comments_boy_people_rebuild_map_ideas,0.634069400630915,""Canterbury?" "No - The ACT Party" 17 September 2010",17/09/2010,"Hawkey, Allan Charles",Waikato times (Newspaper),"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.318611987381703,0.634069400630915,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211
DCDL-0015640,1.9740680713128,mayor_bob_parker_auckland_anderton_local_prime_lower,0.974068071312804,"Chch Mayoralty. Wigram MP.",14/09/2010,"Nisbet, Alastair",Press (Christchurch, N.Z.) (Newspaper),"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974068071312804,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976
DCDL-0015642,13.8085351787774,aftershocks_people_aftershock_liquefaction_house_great_phone,0.808535178777393,"Tremor Strike. Simply guess the magnitude of the next four consecutive aftershocks and WIN BIG! 16 September 2010",16/09/2010,"Nisbet, Alastair",Press (Christchurch, N.Z.) (Newspaper),"",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.808535178777393,0.174163783160323,0.00115340253748558,0.00115340253748558,0.00115340253748558
DCDL-0015644,13.3471741637832,aftershocks_people_aftershock_liquefaction_house_great_phone,0.34717416378316,"Latest NZ Adventure Tourism?... 21 September 2010",21/09/2010,"Nisbet, Alastair",Press (Christchurch, N.Z.) (Newspaper),"",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.174163783160323,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.231833910034602,0.00115340253748558,0.00115340253748558,0.34717416378316,0.00115340253748558,0.231833910034602,0.00115340253748558,0.00115340253748558
DCDL-0015664,15.489539748954,insurance_finance_billion_government_cost_company_huge,0.489539748953975,"Was it something we said? 23 September 2010",23/09/2010,"Winter, Mark",Southland times (Newspaper),"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.489539748953975,0.489539748953975,0.00139470013947001
DCDL-0015674,8.53086419753086,recovery_cera_portaloo_damage_problems_back_portaloos,0.530864197530864,"NZ to import dung beetles to process organic waste. 24 September 2010",27/09/2010,"Evans, Malcolm Paul",Press (Christchurch, N.Z.) (Newspaper),"Christchurch (N.Z.). City Council (name_authority)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.530864197530864,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.442680776014109
DCDL-0015710,14.522816166884,version_word_cathedral_reading_letters_large_home,0.522816166883963,""We still haven't seen an assessor!" "And that's with the extra hour they've hand since daylight saving kicked in!" 29 September 2010",29/09/2010,"Evans, Malcolm Paul",Timaru herald (Newspaper),"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00130378096479791,0.0664928292046936,0.00130378096479791,0.0664928292046936,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.196870925684485,0.00130378096479791,0.00130378096479791,0.522816166883963,0.131681877444589,0.00130378096479791,0.00130378096479791
DCDL-0015710A,14.4576271186441,version_word_cathedral_reading_letters_large_home,0.457627118644068,""We still haven't seen an assessor!" "And that's with the extra hour they've hand since daylight saving kicked in!" 29 September 2010",29/09/2010,"Evans, Malcolm Paul",Press (Christchurch, N.Z.) (Newspaper),"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00130378096479791,0.00130378096479791,0.131681877444589,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.262059973924381,0.00130378096479791,0.00130378096479791,0.457627118644068,0.131681877444589,0.00130378096479791,0.00130378096479791
DCDL-0015713,1.98345398138573,mayor_bob_parker_auckland_anderton_local_prime_lower,0.983453981385729,""Christchurch quake has affected some more than others" 30 September 2010",01/10/2010,"Evans, Malcolm Paul",Timaru herald (Newspaper),"Parker, Robert John (Sir), 1953- (name_authority) # Anderton, James Patrick (Hon), 1938- (name_authority) # Christchurch (N.Z.). City Council (name_authority)",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983453981385729,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193,0.00103412616339193
