identifier,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.3.2,0.000683060109289618,0.342213114754098,0.000683060109289618,0.000683060109289618,0.273907103825137,0.000683060109289618,0.000683060109289618,0.000683060109289618,0.376366120218579,0.000683060109289618,0.000683060109289618,0.000683060109289618,0.000683060109289618,0.000683060109289618
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.3.3,0.000683060109289618,0.41051912568306,0.000683060109289618,0.000683060109289618,0.000683060109289618,0.000683060109289618,0.000683060109289618,0.000683060109289618,0.273907103825137,0.103142076502732,0.205601092896175,0.000683060109289618,0.000683060109289618,0.000683060109289618
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.3.4,0.000859106529209622,0.000859106529209622,0.000859106529209622,0.000859106529209622,0.000859106529209622,0.000859106529209622,0.000859106529209622,0.000859106529209622,0.774054982817869,0.000859106529209622,0.000859106529209622,0.129725085910653,0.000859106529209622,0.0867697594501718
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.4.1,0.000619578686493185,0.000619578686493185,0.000619578686493185,0.000619578686493185,0.434324659231722,0.000619578686493185,0.000619578686493185,0.000619578686493185,0.434324659231722,0.12453531598513,0.000619578686493185,0.000619578686493185,0.000619578686493185,0.000619578686493185
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.5.1,0.158536585365854,0.0004516711833785,0.0004516711833785,0.0004516711833785,0.406955736224029,0.0004516711833785,0.0004516711833785,0.113369467028004,0.316621499548329,0.0004516711833785,0.0004516711833785,0.0004516711833785,0.0004516711833785,0.0004516711833785
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.5.2,0.000897666068222621,0.000897666068222621,0.180430879712747,0.000897666068222621,0.584380610412926,0.000897666068222621,0.000897666068222621,0.000897666068222621,0.180430879712747,0.000897666068222621,0.000897666068222621,0.000897666068222621,0.000897666068222621,0.0457809694793537
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.5.3,0.00109409190371991,0.00109409190371991,0.00109409190371991,0.00109409190371991,0.00109409190371991,0.00109409190371991,0.00109409190371991,0.0557986870897155,0.438730853391685,0.00109409190371991,0.00109409190371991,0.493435448577681,0.00109409190371991,0.00109409190371991
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.6.1,0.00140056022408964,0.00140056022408964,0.00140056022408964,0.00140056022408964,0.561624649859944,0.00140056022408964,0.00140056022408964,0.00140056022408964,0.42156862745098,0.00140056022408964,0.00140056022408964,0.00140056022408964,0.00140056022408964,0.00140056022408964
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.6.2,0.123188405797101,0.00241545893719807,0.00241545893719807,0.00241545893719807,0.847826086956522,0.00241545893719807,0.00241545893719807,0.00241545893719807,0.00241545893719807,0.00241545893719807,0.00241545893719807,0.00241545893719807,0.00241545893719807,0.00241545893719807
urn:cts:greekLit:tlg0003.tlg001.perseus-grc1:1.6.3,0.000823723228995058,0.371499176276771,0.000823723228995058,0.000823723228995058,0.000823723228995058,0.124382207578254,0.000823723228995058,0.000823723228995058,0.000823723228995058,0.412685337726524,0.000823723228995058,0.0831960461285008,0.000823723228995058,0.000823723228995058
