term,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14
39,ἀθηναίους,0.00458347962813135,0.00385713777862044,0.00232973242297647,6.74864014900997e-06,0.0023907039953121,0.00182927857299412,0.010406997215198,5.85212841910603e-06,0.00301572513934176,7.34333005331258e-06,0.01299520245391,5.79112567900949e-06,5.51638919229029e-06,4.1096791162546e-06
40,εὐθύς,0.00401102172286931,5.92494282430175e-06,0.00588866561906274,0.001356476669951,0.000936125293253456,0.00393674236676614,0.00740613296629429,0.00849143833612285,4.0156127021861e-06,7.34333005331258e-06,0.00317195748753082,5.79112567900949e-06,0.0104866558545439,0.00493572461862178
41,λέγω,3.81638603508022e-06,5.92494282430175e-06,2.73764092006636e-06,6.74864014900997e-06,0.00368943497929303,0.0168625203019012,0.00600572965013924,5.85212841910603e-06,0.00401962831488829,0.0036790083567096,0.00142912370317322,5.79112567900949e-06,5.51638919229029e-06,4.1096791162546e-06
42,ἀλλ,0.00267528661059123,5.92494282430175e-06,0.00260349651498311,0.000681612655050007,0.00737783097379888,0.00253176650425146,0.00320492301782913,0.00293191633797212,4.0156127021861e-06,0.00221034234604709,0.00364727579235561,5.79112567900949e-06,5.51638919229029e-06,4.1096791162546e-06
43,πολέμιος,0.00229364800708321,5.92494282430175e-06,0.00451984515902956,6.74864014900997e-06,0.00472841976647778,0.00337475202176027,0.00220463493486124,5.85212841910603e-06,0.00502353149043481,7.34333005331258e-06,0.0060238673164796,0.00290135396518375,5.51638919229029e-06,4.1096791162546e-06
44,ὕστερος,3.81638603508022e-06,0.00741210347320148,0.00301414265299306,6.74864014900997e-06,1.03898478718475e-06,0.00225077133174852,0.00580567203354566,0.0128805346504524,0.00281494450423246,0.00661634037803463,0.00237976031282282,5.79112567900949e-06,0.0107624753141584,0.0037028208837454
45,λόγος,3.81638603508022e-06,5.92494282430175e-06,2.73764092006636e-06,6.74864014900997e-06,0.00613104922917719,0.00520122064302935,0.00660590249991998,5.85212841910603e-06,4.0156127021861e-06,7.34333005331258e-06,0.006657625056246,5.79112567900949e-06,5.51638919229029e-06,4.1096791162546e-06
46,χωρέω,0.000957912894805135,0.00296839635497517,0.0132802961032419,6.74864014900997e-06,0.000988074532612694,2.80995172502936e-06,0.00840642104926219,0.00468755486370393,4.0156127021861e-06,7.34333005331258e-06,3.16878869883198e-06,0.00405957910098565,0.00717682233916967,4.1096791162546e-06
47,ἕκαστος,0.00248446730883722,0.00296839635497517,2.73764092006636e-06,0.00540566075935699,0.00342968878249685,0.00421773753926907,0.000804231618706187,0.00351712917988272,0.00823602165218369,0.00955367239935966,0.00142912370317322,5.79112567900949e-06,5.51638919229029e-06,4.1096791162546e-06
48,παρασκευάζω,0.00515593753339338,5.92494282430175e-06,0.00150844014695656,0.00945484484876297,0.00135171920812735,0.00309375684925733,0.00200457731826766,0.00380973560083802,0.00763367974685578,7.34333005331258e-06,3.16878869883198e-06,5.79112567900949e-06,0.00303953044495195,0.00740153208837454
49,ἐπ,0.00362938311936129,5.92494282430175e-06,0.00315102469899638,6.74864014900997e-06,0.002806297910186,0.00239126891799999,0.000204058768925451,0.0231217593838879,4.0156127021861e-06,7.34333005331258e-06,0.00127068426823163,0.00203268511333233,5.51638919229029e-06,0.00205894923724356
50,ὀλίγος,0.00687331124917948,5.92494282430175e-06,0.00616242971106938,0.00675538878915898,0.0019751100804382,0.00182927857299412,0.00380509586760987,5.85212841910603e-06,0.00482275085532551,7.34333005331258e-06,3.16878869883198e-06,0.00377002281703518,0.00166043314687938,0.000826045502367175
51,πείθω,3.81638603508022e-06,0.00415338491983552,2.73764092006636e-06,0.0030436367072035,0.00249460247403058,0.00829216754056165,0.00440526871739061,0.000298458549374407,4.0156127021861e-06,7.34333005331258e-06,0.00459791240200521,5.79112567900949e-06,5.51638919229029e-06,0.00699056417674908
52,λακεδαιμόνιοι,3.81638603508022e-06,0.000894666366469564,0.00150844014695656,6.74864014900997e-06,0.0015595161655643,2.80995172502936e-06,0.00420521110079703,0.00263930991701682,4.0156127021861e-06,0.00074167633538457,0.0147380362382676,5.79112567900949e-06,0.00800428071801322,0.00246991714886902
53,τεῖχος,3.81638603508022e-06,5.92494282430175e-06,0.00424608106702293,6.74864014900997e-06,1.03898478718475e-06,2.80995172502936e-06,0.010406997215198,0.00146888423319561,4.0156127021861e-06,7.34333005331258e-06,3.16878869883198e-06,0.0344629889157854,5.51638919229029e-06,4.1096791162546e-06
54,λαμβάνω,0.00496511823163937,5.92494282430175e-06,0.00260349651498311,0.00574309276680749,0.00207900855915668,0.00239126891799999,0.0054055568003585,0.00673579981039104,4.0156127021861e-06,7.34333005331258e-06,0.000795365963406828,5.79112567900949e-06,5.51638919229029e-06,0.00657959626512362
