term,february_people_cathedral_aftershocks_rubble_buildings_september,city_council_community_reports_chief_executive_government_public,aftershocks_people_house_woman_september_couple_disaster,red_zone_homes_people_areas_damage_central,february_south_pike_river_zealand_island_news_september,describes_experience_touches_sep_family_work_dunedin,eqc_work_rebuild_commission_heading_ian_homes,buildings_city_heritage_architect_notes_discusses_auckland,john_key_labelled_cup_prime_february_rugby_world_representing,buildings_time_february_ring_moon_rubble_devastated,mayor_bob_parker_mp_local_february_special_anderton,finance_government_billion_economy_bill_english_rate_bank,insurance_recent_companies_house_ami_community_company,people_woman_newspaper_reading_comments_headline_february,city_people_university_cbd_including_magnitude_effects,party_year_gas_energy_oil_leader_exploration,people_february_september_jersey_victims_replies_zealand
government,1.56644057707671e-05,0.0131147035707131,1.96699384330927e-05,0.0122235062419636,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,0.00924860418531305,2.77092742941062e-05,2.17679966912645e-05,0.0175700278575972,0.00505126785144909,2.41610089637343e-05,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
house,1.56644057707671e-05,1.54109325155265e-05,0.0196896083715258,0.0122235062419636,2.1464294146687e-05,1.41966808160252e-05,0.0106397091989705,0.000708933957936585,1.42067652616176e-05,2.77092742941062e-05,0.00328696750038094,2.19351159270877e-05,0.013442078235916,2.41610089637343e-05,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
mayor,1.56644057707671e-05,1.54109325155265e-05,1.96699384330927e-05,1.62763065805108e-05,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,1.42067652616176e-05,2.77092742941062e-05,0.0642373582359216,0.00111869091228147,1.67816207689339e-05,2.41610089637343e-05,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
zealand,1.56644057707671e-05,1.54109325155265e-05,0.00395365762505163,1.62763065805108e-05,0.0171928996114963,0.00285353284402107,2.65329406458118e-05,1.39006658418938e-05,0.0106692807114748,2.77092742941062e-05,0.00546376716950739,2.19351159270877e-05,0.00253402473610901,2.41610089637343e-05,1.61710247578389e-05,2.94646277144288e-05,0.0125598535937226
zone,1.56644057707671e-05,1.54109325155265e-05,1.96699384330927e-05,0.043148488744934,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,1.42067652616176e-05,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,2.41610089637343e-05,1.61710247578389e-05,0.00592239017060019,2.50695680513425e-05
reports,1.56644057707671e-05,0.0169674366995947,1.96699384330927e-05,1.62763065805108e-05,2.1464294146687e-05,0.00569286900722611,2.65329406458118e-05,0.00835430017097819,1.42067652616176e-05,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,0.00123221145715045,0.0064845809278934,0.00592239017060019,2.50695680513425e-05
comments,1.56644057707671e-05,1.54109325155265e-05,1.96699384330927e-05,0.00571298360975927,0.00646075253815278,1.41966808160252e-05,2.65329406458118e-05,0.00696423358678881,1.42067652616176e-05,2.77092742941062e-05,0.00437536733494417,0.00440895830134462,0.00589034888989579,0.0169368672835778,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
rebuild,1.56644057707671e-05,0.0115736103191604,1.96699384330927e-05,1.62763065805108e-05,2.1464294146687e-05,1.41966808160252e-05,0.0212528854572952,1.39006658418938e-05,0.00569691286990865,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,0.0145207663872043,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
woman,1.56644057707671e-05,1.54109325155265e-05,0.0157556206849073,1.62763065805108e-05,0.0107536113674902,1.41966808160252e-05,2.65329406458118e-05,1.39006658418938e-05,0.00285555981758513,2.77092742941062e-05,2.17679966912645e-05,2.19351159270877e-05,1.67816207689339e-05,0.0241851699726981,1.61710247578389e-05,2.94646277144288e-05,2.50695680513425e-05
year,0.00158210498284748,0.0023270508098445,1.96699384330927e-05,1.62763065805108e-05,2.1464294146687e-05,1.41966808160252e-05,2.65329406458118e-05,0.00348906712631535,0.00782792765915129,2.77092742941062e-05,0.00546376716950739,2.19351159270877e-05,0.00756851096678917,0.0048563628017106,1.61710247578389e-05,0.0162350098706503,2.50695680513425e-05
