identifier,TopicValue2,Topic,TopicValue,Month,Publisher,february_people_cathedral_aftershocks_rubble_buildings_september,city_council_community_reports_chief_executive_government_public,aftershocks_people_house_woman_september_couple_disaster,red_zone_homes_people_areas_damage_central,february_south_pike_river_zealand_island_news_september,describes_experience_touches_sep_family_work_dunedin,eqc_work_rebuild_commission_heading_ian_homes,buildings_city_heritage_architect_notes_discusses_auckland,john_key_labelled_cup_prime_february_rugby_world_representing,buildings_time_february_ring_moon_rubble_devastated,mayor_bob_parker_mp_local_february_special_anderton,finance_government_billion_economy_bill_english_rate_bank,insurance_recent_companies_house_ami_community_company,people_woman_newspaper_reading_comments_headline_february,city_people_university_cbd_including_magnitude_effects,party_year_gas_energy_oil_leader_exploration,people_february_september_jersey_victims_replies_zealand
DCDL-0015533,11.5349219391947,mayor_bob_parker_mp_local_february_special_anderton,0.534921939194741,2010-09,Northern advocate (Newspaper),0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.32949876746097,0.124075595727198,0.534921939194741,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086
DCDL-0015539,1.64453961456103,february_people_cathedral_aftershocks_rubble_buildings_september,0.644539614561028,2010-09,Waikato times (Newspaper),0.644539614561028,0.00214132762312634,0.00214132762312634,0.21627408993576,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.00214132762312634,0.109207708779443
DCDL-0015541,9.56326148078725,john_key_labelled_cup_prime_february_rugby_world_representing,0.563261480787254,2010-09,Marlborough Express (Newspaper),0.000937207122774133,0.000937207122774133,0.422680412371134,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.563261480787254,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133
DCDL-0015552,9.53086419753086,john_key_labelled_cup_prime_february_rugby_world_representing,0.530864197530864,2010-09,Southland times (Newspaper),0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.530864197530864,0.0017636684303351,0.0017636684303351,0.354497354497354,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.08994708994709
DCDL-0015558,4.63552479815456,red_zone_homes_people_areas_damage_central,0.635524798154556,2010-09,Northern advocate (Newspaper),0.00115340253748558,0.00115340253748558,0.00115340253748558,0.635524798154556,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.34717416378316,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558
DCDL-0015561,3.51640112464855,aftershocks_people_house_woman_september_couple_disaster,0.516401124648547,2010-09,Waikato times (Newspaper),0.000937207122774133,0.000937207122774133,0.516401124648547,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.188378631677601,0.0946579194001874,0.188378631677601,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133
DCDL-0015562,11.8689818468824,mayor_bob_parker_mp_local_february_special_anderton,0.868981846882399,2010-09,Waikato times (Newspaper),0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.119179163378058,0.000789265982636148,0.868981846882399,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148,0.000789265982636148
DCDL-0015572,9.99338022341746,john_key_labelled_cup_prime_february_rugby_world_representing,0.99338022341746,2010-09,Nelson mail (Newspaper),0.000413736036408771,0.000413736036408771,0.000413736036408771,0.000413736036408771,0.000413736036408771,0.000413736036408771,0.000413736036408771,0.000413736036408771,0.99338022341746,0.000413736036408771,0.000413736036408771,0.000413736036408771,0.000413736036408771,0.000413736036408771,0.000413736036408771,0.000413736036408771,0.000413736036408771
DCDL-0015572A,9.99338022341746,john_key_labelled_cup_prime_february_rugby_world_representing,0.99338022341746,2010-09,Dominion post (Newspaper),0.000413736036408771,0.000413736036408771,0.000413736036408771,0.000413736036408771,0.000413736036408771,0.000413736036408771,0.000413736036408771,0.000413736036408771,0.99338022341746,0.000413736036408771,0.000413736036408771,0.000413736036408771,0.000413736036408771,0.000413736036408771,0.000413736036408771,0.000413736036408771,0.000413736036408771
DCDL-0015573,9.72617319787131,john_key_labelled_cup_prime_february_rugby_world_representing,0.726173197871311,2010-09,Listener (Serial),0.000483792936623125,0.000483792936623125,0.0246734397677794,0.000483792936623125,0.000483792936623125,0.000483792936623125,0.000483792936623125,0.000483792936623125,0.726173197871311,0.000483792936623125,0.000483792936623125,0.242380261248186,0.000483792936623125,0.000483792936623125,0.000483792936623125,0.000483792936623125,0.000483792936623125
DCDL-0015605,5.658175842235,february_south_pike_river_zealand_island_news_september,0.658175842235004,2010-09,Marlborough Express (Newspaper),0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.658175842235004,0.000821692686935086,0.288414133114215,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.0419063270336894,0.000821692686935086,0.000821692686935086,0.000821692686935086,0.000821692686935086
DCDL-0015607,4.38646101113967,red_zone_homes_people_areas_damage_central,0.386461011139674,2010-09,Northern advocate (Newspaper),0.000856898029134533,0.000856898029134533,0.000856898029134533,0.386461011139674,0.000856898029134533,0.172236503856041,0.172236503856041,0.0437017994858612,0.129391602399314,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.0865467009425878
DCDL-0015611,3.97913950456323,aftershocks_people_house_woman_september_couple_disaster,0.979139504563233,2010-09,Dominion post (Newspaper),0.00130378096479791,0.00130378096479791,0.979139504563233,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791
DCDL-0015611A,3.97913950456323,aftershocks_people_house_woman_september_couple_disaster,0.979139504563233,2010-09,Nelson mail (Newspaper),0.00130378096479791,0.00130378096479791,0.979139504563233,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791
DCDL-0015616,1.96905222437137,february_people_cathedral_aftershocks_rubble_buildings_september,0.969052224371373,2010-09,Press (Christchurch, N.Z.) (Newspaper),0.969052224371373,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917
DCDL-0015626,11.3961766644693,mayor_bob_parker_mp_local_february_special_anderton,0.396176664469347,2010-09,Northern advocate (Newspaper),0.000659195781147001,0.000659195781147001,0.000659195781147001,0.000659195781147001,0.000659195781147001,0.033618984838497,0.000659195781147001,0.000659195781147001,0.000659195781147001,0.132498352010547,0.396176664469347,0.033618984838497,0.000659195781147001,0.198417930125247,0.165458141067897,0.033618984838497,0.000659195781147001
DCDL-0015627,1.3621103117506,february_people_cathedral_aftershocks_rubble_buildings_september,0.3621103117506,2010-09,Waikato times (Newspaper),0.3621103117506,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.24220623501199,0.00239808153477218,0.3621103117506,0.00239808153477218
DCDL-0015640,11.9010494752624,mayor_bob_parker_mp_local_february_special_anderton,0.901049475262369,2010-09,Press (Christchurch, N.Z.) (Newspaper),0.00149925037481259,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.00149925037481259,0.901049475262369,0.00149925037481259,0.00149925037481259,0.0764617691154423,0.00149925037481259,0.00149925037481259,0.00149925037481259
DCDL-0015642,3.46954076850984,aftershocks_people_house_woman_september_couple_disaster,0.469540768509841,2010-09,Press (Christchurch, N.Z.) (Newspaper),0.000937207122774133,0.000937207122774133,0.469540768509841,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.0477975632614808,0.000937207122774133,0.000937207122774133,0.141518275538894,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.328959700093721,0.000937207122774133,0.000937207122774133
DCDL-0015644,3.520184544406,aftershocks_people_house_woman_september_couple_disaster,0.520184544405998,2010-09,Press (Christchurch, N.Z.) (Newspaper),0.231833910034602,0.00115340253748558,0.520184544405998,0.00115340253748558,0.116493656286044,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.116493656286044,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558
DCDL-0015664,5.73561811505508,february_south_pike_river_zealand_island_news_september,0.73561811505508,2010-09,Southland times (Newspaper),0.00122399020807834,0.00122399020807834,0.123623011015912,0.00122399020807834,0.73561811505508,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.0624235006119951,0.0624235006119951,0.00122399020807834,0.00122399020807834,0.00122399020807834
DCDL-0015674,2.35006973500697,city_council_community_reports_chief_executive_government_public,0.350069735006973,2010-09,Press (Christchurch, N.Z.) (Newspaper),0.00139470013947001,0.350069735006973,0.0711297071129707,0.210599721059972,0.350069735006973,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001
DCDL-0015710,7.98154555940023,eqc_work_rebuild_commission_heading_ian_homes,0.981545559400231,2010-09,Timaru herald (Newspaper),0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.981545559400231,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558
DCDL-0015710A,7.98154555940023,eqc_work_rebuild_commission_heading_ian_homes,0.981545559400231,2010-09,Press (Christchurch, N.Z.) (Newspaper),0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.981545559400231,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558
DCDL-0015713,11.9856759176365,mayor_bob_parker_mp_local_february_special_anderton,0.985675917636526,2010-10,Timaru herald (Newspaper),0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.985675917636526,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099
DCDL-0015713A,11.9856759176365,mayor_bob_parker_mp_local_february_special_anderton,0.985675917636526,2010-10,Wellingtonian (Newspaper),0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.985675917636526,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099
DCDL-0015720,11.7384464110128,mayor_bob_parker_mp_local_february_special_anderton,0.738446411012783,2010-10,Timaru herald (Newspaper),0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.738446411012783,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.246804326450344
DCDL-0015726,12.9776847977685,finance_government_billion_economy_bill_english_rate_bank,0.97768479776848,2010-10,Dominion post (Newspaper),0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.97768479776848,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001
DCDL-0015726A,12.9776847977685,finance_government_billion_economy_bill_english_rate_bank,0.97768479776848,2010-10,Nelson mail (Newspaper),0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.97768479776848,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001
DCDL-0015734,5.984267453294,february_south_pike_river_zealand_island_news_september,0.984267453294002,2010-09,Press (Christchurch, N.Z.) (Newspaper),0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.984267453294002,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877
DCDL-0015735,5.70992366412214,february_south_pike_river_zealand_island_news_september,0.709923664122137,2010-09,Press (Christchurch, N.Z.) (Newspaper),0.00109051254089422,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.709923664122137,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.0556161395856052,0.219193020719738,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.00109051254089422
DCDL-0015760,5.71642808452624,february_south_pike_river_zealand_island_news_september,0.716428084526244,2010-10,Shipping Gazette (Serial),0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.716428084526244,0.0688479890933879,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.000681663258350375,0.0347648261758691,0.000681663258350375,0.171097477845944,0.000681663258350375,0.000681663258350375,0.000681663258350375
DCDL-0015784,1.52281616688396,february_people_cathedral_aftershocks_rubble_buildings_september,0.522816166883963,2010-10,Press (Christchurch, N.Z.) (Newspaper),0.522816166883963,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.262059973924381,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.00130378096479791,0.196870925684485,0.00130378096479791
DCDL-0015839,1.58220502901354,february_people_cathedral_aftershocks_rubble_buildings_september,0.58220502901354,2010-10,Press (Christchurch, N.Z.) (Newspaper),0.58220502901354,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.195357833655706,0.00193423597678917,0.195357833655706,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917
DCDL-0015856,3.98628963153385,aftershocks_people_house_woman_september_couple_disaster,0.986289631533847,2010-10,Press (Christchurch, N.Z.) (Newspaper),0.000856898029134533,0.000856898029134533,0.986289631533847,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533
DCDL-0015856A,3.98628963153385,aftershocks_people_house_woman_september_couple_disaster,0.986289631533847,2010-10,Timaru herald (Newspaper),0.000856898029134533,0.000856898029134533,0.986289631533847,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533
DCDL-0015856B,3.98628963153385,aftershocks_people_house_woman_september_couple_disaster,0.986289631533847,2010-10,Manawatu standard (Newspaper),0.000856898029134533,0.000856898029134533,0.986289631533847,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533
DCDL-0015869,1.48953974895398,february_people_cathedral_aftershocks_rubble_buildings_september,0.489539748953975,2010-10,Southland times (Newspaper),0.489539748953975,0.00139470013947001,0.350069735006973,0.00139470013947001,0.140864714086471,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001
DCDL-0015892,1.35899731423456,february_people_cathedral_aftershocks_rubble_buildings_september,0.358997314234557,2010-10,Press (Christchurch, N.Z.) (Newspaper),0.358997314234557,0.000895255147717099,0.358997314234557,0.000895255147717099,0.090420769919427,0.000895255147717099,0.179946284691137,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099
DCDL-0015912,17.4695407685098,people_february_september_jersey_victims_replies_zealand,0.469540768509841,2010-10,Press (Christchurch, N.Z.) (Newspaper),0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.141518275538894,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.0946579194001874,0.282099343955014,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.469540768509841
DCDL-0016039,14.9909451046972,people_woman_newspaper_reading_comments_headline_february,0.990945104697227,2010-11,Timaru herald (Newspaper),0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.990945104697227,0.000565930956423316,0.000565930956423316,0.000565930956423316
DCDL-0016039A,14.9909451046972,people_woman_newspaper_reading_comments_headline_february,0.990945104697227,2010-11,Manawatu standard (Newspaper),0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.000565930956423316,0.990945104697227,0.000565930956423316,0.000565930956423316,0.000565930956423316
DCDL-0016121,3.9740680713128,aftershocks_people_house_woman_september_couple_disaster,0.974068071312804,2010-11,Press (Christchurch, N.Z.) (Newspaper),0.00162074554294976,0.00162074554294976,0.974068071312804,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976
DCDL-0016143,5.98500468603561,february_south_pike_river_zealand_island_news_september,0.985004686035614,2010-11,Marlborough Express (Newspaper),0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.985004686035614,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133
DCDL-0016143A,5.98500468603561,february_south_pike_river_zealand_island_news_september,0.985004686035614,2010-11,New Zealand herald (Newspaper),0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.985004686035614,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133
DCDL-0016218,1.38276990185387,february_people_cathedral_aftershocks_rubble_buildings_september,0.382769901853871,2010-11,Press (Christchurch, N.Z.) (Newspaper),0.382769901853871,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.219193020719738,0.00109051254089422,0.219193020719738,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.164667393675027,0.00109051254089422,0.00109051254089422,0.00109051254089422
DCDL-0016249,5.97178130511464,february_south_pike_river_zealand_island_news_september,0.971781305114638,2010-12,Marlborough Express (Newspaper),0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.971781305114638,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351,0.0017636684303351
DCDL-0016259,7.56326148078725,eqc_work_rebuild_commission_heading_ian_homes,0.563261480787254,2010-12,Press (Christchurch, N.Z.) (Newspaper),0.188378631677601,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.563261480787254,0.000937207122774133,0.235238987816307,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133
DCDL-0016310,1.44852282900627,february_people_cathedral_aftershocks_rubble_buildings_september,0.448522829006267,2010-12,Press (Christchurch, N.Z.) (Newspaper),0.448522829006267,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.269471799462847,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.269471799462847
DCDL-0016337,5.29596853490659,february_south_pike_river_zealand_island_news_september,0.295968534906588,2010-09,New Zealand herald (Newspaper),0.0993117010816126,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.295968534906588,0.000983284169124877,0.1976401179941,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.1976401179941,0.1976401179941,0.000983284169124877,0.000983284169124877,0.000983284169124877
