identifier,nz_company_canterbury_exploration_fracking_gas_oil,earthquake_canterbury_talks_commission_speaks_economic_earthquakes,christchurch_earthquake_high_house_party_including_damaged,mayor_christchurch_bob_parker_architect_river_writer,quake_christchurch_earthquake_talks_experience_feb_nz,christchurch_earthquake_city_talks_business_recovery_earthquakes,earthquake_earthquakes_talks_canterbury_university_community_lessons,nz_christchurch_civil_earthquake_national_defence_approach,earthquake_buildings_christchurch_city_building_heritage_notes,christchurch_earthquake_feb_talks_includes_sep_dunedin,christchurch_earthquake_city_people_residents_describes_quake,insurance_christchurch_earthquakes_rebuilding_executive_companies_nz
INNZ-46899,0.000640204865556978,0.000640204865556978,0.000640204865556978,0.000640204865556978,0.0646606914212548,0.000640204865556978,0.000640204865556978,0.000640204865556978,0.51280409731114,0.000640204865556978,0.416773367477593,0.000640204865556978
INNZ-46906,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.932098765432099,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284,0.00617283950617284
INNZ-46908,0.000640204865556978,0.000640204865556978,0.288732394366197,0.256722151088348,0.224711907810499,0.000640204865556978,0.000640204865556978,0.000640204865556978,0.224711907810499,0.000640204865556978,0.000640204865556978,0.000640204865556978
INNZ-46917,0.000825082508250825,0.000825082508250825,0.000825082508250825,0.000825082508250825,0.743399339933993,0.000825082508250825,0.000825082508250825,0.000825082508250825,0.000825082508250825,0.248349834983498,0.000825082508250825,0.000825082508250825
INNZ-46920,0.000567536889897843,0.000567536889897843,0.000567536889897843,0.000567536889897843,0.000567536889897843,0.539727582292849,0.000567536889897843,0.000567536889897843,0.000567536889897843,0.000567536889897843,0.454597048808172,0.000567536889897843
INNZ-46935,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.185960591133005,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.801724137931035,0.00123152709359606
INNZ-46966,0.000398089171974522,0.000398089171974522,0.000398089171974522,0.000398089171974522,0.000398089171974522,0.000398089171974522,0.99562101910828,0.000398089171974522,0.000398089171974522,0.000398089171974522,0.000398089171974522,0.000398089171974522
INNZ-46977,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.986453201970443,0.00123152709359606,0.00123152709359606,0.00123152709359606
INNZ-47164,0.000484966052376334,0.000484966052376334,0.000484966052376334,0.000484966052376334,0.41270611057226,0.000484966052376334,0.000484966052376334,0.000484966052376334,0.000484966052376334,0.000484966052376334,0.388457807953443,0.19447138700291
INNZ-47806,0.00131233595800525,0.00131233595800525,0.985564304461942,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525,0.00131233595800525
