term,nz_company_canterbury_exploration_fracking_gas_oil,earthquake_canterbury_talks_commission_speaks_economic_earthquakes,christchurch_earthquake_high_house_party_including_damaged,mayor_christchurch_bob_parker_architect_river_writer,quake_christchurch_earthquake_talks_experience_feb_nz,christchurch_earthquake_city_talks_business_recovery_earthquakes,earthquake_earthquakes_talks_canterbury_university_community_lessons,nz_christchurch_civil_earthquake_national_defence_approach,earthquake_buildings_christchurch_city_building_heritage_notes,christchurch_earthquake_feb_talks_includes_sep_dunedin,christchurch_earthquake_city_people_residents_describes_quake,insurance_christchurch_earthquakes_rebuilding_executive_companies_nz
people,5.50327444829674e-05,3.48177291877024e-05,2.57261197293612e-05,5.00726052776526e-05,2.93074646112365e-05,0.0171195977493116,2.51123778910625e-05,4.06983842741443e-05,1.54628813533114e-05,2.63706125893305e-05,0.0284182549237864,0.00839117950433498
reports,0.0165648560893732,0.0139619094042687,2.57261197293612e-05,5.00726052776526e-05,2.93074646112365e-05,0.00514785107147133,2.51123778910625e-05,4.06983842741443e-05,0.0100663357610057,2.63706125893305e-05,0.0181958610663093,2.7877672771877e-05
describes,5.50327444829674e-05,3.48177291877024e-05,0.01288878598441,5.00726052776526e-05,2.93074646112365e-05,1.71024952540576e-05,0.0113256824288692,4.06983842741443e-05,1.54628813533114e-05,0.0105746156483215,0.0193316826060289,0.00560341222714728
business,5.50327444829674e-05,3.48177291877024e-05,2.57261197293612e-05,5.00726052776526e-05,2.93074646112365e-05,0.0248157206136375,2.51123778910625e-05,4.06983842741443e-05,0.00852004762567457,0.00925608501885499,2.27164307943936e-05,2.7877672771877e-05
speaks,5.50327444829674e-05,0.0261481146199645,0.00517095006560161,5.00726052776526e-05,0.0117522933091058,0.0119888491730944,0.00755882574520981,4.06983842741443e-05,1.54628813533114e-05,2.63706125893305e-05,2.27164307943936e-05,2.7877672771877e-05
recovery,5.50327444829674e-05,0.0139619094042687,2.57261197293612e-05,5.00726052776526e-05,2.93074646112365e-05,0.0248157206136375,2.51123778910625e-05,4.06983842741443e-05,0.00310803915201559,0.00661902375992194,2.27164307943936e-05,2.7877672771877e-05
rebuilding,5.50327444829674e-05,3.48177291877024e-05,0.0116024799979419,0.0125682239246908,2.93074646112365e-05,1.71024952540576e-05,2.51123778910625e-05,4.06983842741443e-05,0.007746903558009,0.00661902375992194,2.27164307943936e-05,0.0195422486130858
residents,5.50327444829674e-05,3.48177291877024e-05,2.57261197293612e-05,5.00726052776526e-05,2.93074646112365e-05,0.0188298472747174,2.51123778910625e-05,4.06983842741443e-05,1.54628813533114e-05,2.63706125893305e-05,0.022739147225188,2.7877672771877e-05
notes,5.50327444829674e-05,0.00525747710734306,0.00774356203853773,5.00726052776526e-05,2.93074646112365e-05,1.71024952540576e-05,2.51123778910625e-05,4.06983842741443e-05,0.0193440645729925,2.63706125893305e-05,0.00797346720883215,2.7877672771877e-05
discusses,0.0193164933135215,3.48177291877024e-05,0.00774356203853773,5.00726052776526e-05,2.93074646112365e-05,0.00514785107147133,2.51123778910625e-05,4.06983842741443e-05,0.0100663357610057,0.00793755438938847,2.27164307943936e-05,2.7877672771877e-05
community,5.50327444829674e-05,3.48177291877024e-05,2.57261197293612e-05,5.00726052776526e-05,2.93074646112365e-05,0.0128439739357972,0.0188593957961879,4.06983842741443e-05,1.54628813533114e-05,2.63706125893305e-05,0.00797346720883215,2.7877672771877e-05
council,5.50327444829674e-05,3.48177291877024e-05,0.0103161740114738,5.00726052776526e-05,2.93074646112365e-05,0.014554223461203,2.51123778910625e-05,4.06983842741443e-05,0.00310803915201559,2.63706125893305e-05,0.00456600258967311,0.00560341222714728
sep,5.50327444829674e-05,3.48177291877024e-05,2.57261197293612e-05,5.00726052776526e-05,0.00589080038685853,0.00942347488498572,2.51123778910625e-05,4.06983842741443e-05,0.00620061542267786,0.0184857994251206,2.27164307943936e-05,2.7877672771877e-05
chief,5.50327444829674e-05,0.019184568782424,2.57261197293612e-05,5.00726052776526e-05,0.00149468069517306,0.0102785996476886,2.51123778910625e-05,4.06983842741443e-05,1.54628813533114e-05,2.63706125893305e-05,2.27164307943936e-05,0.0167544813358981
heritage,5.50327444829674e-05,0.00525747710734306,2.57261197293612e-05,5.00726052776526e-05,2.93074646112365e-05,0.00258247678336269,2.51123778910625e-05,4.06983842741443e-05,0.0224366408436548,2.63706125893305e-05,2.27164307943936e-05,2.7877672771877e-05
