term,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12
heluetiis,0.000398565165404544,0.000259134490800726,0.000197667523225934,0.000237586124970302,0.0162667096150749,0.111111111111111,0.00018152114721365,0.0309911015648972,0.000485672656629432,0.00027708506511499,0.000390777647518562,0.000273298715496037
his,0.000398565165404544,0.013215859030837,0.000197667523225934,0.0358755048705156,0.000161056530842326,0.000369139904023625,0.00018152114721365,0.000306842589751458,0.000485672656629432,0.00027708506511499,0.000390777647518562,0.0822629133643072
id,0.0203268234356317,0.000259134490800726,0.0397311721684127,0.000237586124970302,0.0404251892414237,0.000369139904023625,0.00018152114721365,0.000306842589751458,0.000485672656629432,0.00027708506511499,0.000390777647518562,0.000273298715496037
iter,0.000398565165404544,0.000259134490800726,0.000197667523225934,0.000237586124970302,0.04847801578354,0.000369139904023625,0.00018152114721365,0.000306842589751458,0.000485672656629432,0.055694098088113,0.000390777647518562,0.000273298715496037
eos,0.000398565165404544,0.0391293081109096,0.000197667523225934,0.000237586124970302,0.04847801578354,0.000369139904023625,0.00018152114721365,0.000306842589751458,0.000485672656629432,0.00027708506511499,0.000390777647518562,0.000273298715496037
suis,0.000398565165404544,0.000259134490800726,0.000197667523225934,0.0715134236160608,0.000161056530842326,0.0188261351052049,0.00018152114721365,0.0309911015648972,0.000485672656629432,0.00027708506511499,0.000390777647518562,0.000273298715496037
eam,0.0601833399760861,0.000259134490800726,0.000197667523225934,0.000237586124970302,0.000161056530842326,0.000369139904023625,0.00018152114721365,0.000306842589751458,0.121903836813987,0.00027708506511499,0.000390777647518562,0.000273298715496037
erat,0.000398565165404544,0.000259134490800726,0.000197667523225934,0.000237586124970302,0.000161056530842326,0.000369139904023625,0.00018152114721365,0.000306842589751458,0.000485672656629432,0.00027708506511499,0.0394685423993748,0.0822629133643072
finibus,0.000398565165404544,0.000259134490800726,0.000197667523225934,0.0477548111190306,0.000161056530842326,0.000369139904023625,0.00018152114721365,0.061675360540043,0.000485672656629432,0.00027708506511499,0.000390777647518562,0.000273298715496037
possent,0.000398565165404544,0.000259134490800726,0.000197667523225934,0.0121168923734854,0.000161056530842326,0.000369139904023625,0.0364857505899437,0.000306842589751458,0.000485672656629432,0.00027708506511499,0.000390777647518562,0.0412681060399016
prouinciam,0.000398565165404544,0.000259134490800726,0.000197667523225934,0.000237586124970302,0.04847801578354,0.000369139904023625,0.00018152114721365,0.000306842589751458,0.000485672656629432,0.00027708506511499,0.0394685423993748,0.000273298715496037
qua,0.000398565165404544,0.000259134490800726,0.000197667523225934,0.000237586124970302,0.00821388307295861,0.000369139904023625,0.0183336358685787,0.000306842589751458,0.000485672656629432,0.00027708506511499,0.000390777647518562,0.0685979775895053
rebus,0.000398565165404544,0.000259134490800726,0.000197667523225934,0.0596341173675457,0.000161056530842326,0.0557401255075674,0.00018152114721365,0.000306842589751458,0.000485672656629432,0.00027708506511499,0.000390777647518562,0.000273298715496037
romani,0.000398565165404544,0.000259134490800726,0.000197667523225934,0.000237586124970302,0.000161056530842326,0.000369139904023625,0.00018152114721365,0.000306842589751458,0.000485672656629432,0.111111111111111,0.000390777647518562,0.000273298715496037
die,0.0601833399760861,0.0520860326509458,0.000197667523225934,0.000237586124970302,0.000161056530842326,0.000369139904023625,0.00018152114721365,0.000306842589751458,0.000485672656629432,0.00027708506511499,0.000390777647518562,0.000273298715496037
