identifier,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.6.1,0.0770392749244713,0.00151057401812689,0.00151057401812689,0.152567975830816,0.00151057401812689,0.00151057401812689,0.756797583081571,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.6.2,0.001953125,0.001953125,0.001953125,0.001953125,0.783203125,0.001953125,0.197265625,0.001953125,0.001953125,0.001953125,0.001953125,0.001953125
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.6.3,0.00076219512195122,0.153201219512195,0.00076219512195122,0.34375,0.305640243902439,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.191310975609756
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.7.1,0.268683274021352,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.713523131672598,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.7.2,0.00320512820512821,0.163461538461538,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.80448717948718
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.7.3,0.000661375661375661,0.000661375661375661,0.529761904761905,0.000661375661375661,0.463624338624339,0.000661375661375661,0.000661375661375661,0.000661375661375661,0.000661375661375661,0.000661375661375661,0.000661375661375661,0.000661375661375661
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.7.4,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.712264150943396,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.240566037735849
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.7.5,0.00471698113207547,0.476415094339623,0.476415094339623,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547,0.00471698113207547
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.8.1,0.00163398692810458,0.491830065359477,0.00163398692810458,0.00163398692810458,0.165032679738562,0.165032679738562,0.165032679738562,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.8.2,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.767175572519084,0.00381679389312977,0.00381679389312977,0.194656488549618,0.00381679389312977,0.00381679389312977
