identifier,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14
DCDL-0021255,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.359641255605381,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.583856502242152,0.000896860986547085,0.0457399103139013,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.000896860986547085
DCDL-0021516,0.156335282651072,0.0393762183235867,0.000389863547758285,0.000389863547758285,0.117348927875244,0.000389863547758285,0.429239766081871,0.000389863547758285,0.195321637426901,0.000389863547758285,0.058869395711501,0.000389863547758285,0.000389863547758285,0.000389863547758285,0.000389863547758285
DCDL-0021699,0.98041958041958,0.0013986013986014,0.0013986013986014,0.0013986013986014,0.0013986013986014,0.0013986013986014,0.0013986013986014,0.0013986013986014,0.0013986013986014,0.0013986013986014,0.0013986013986014,0.0013986013986014,0.0013986013986014,0.0013986013986014,0.0013986013986014
DCDL-0019851,0.292128279883382,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.700291545189504,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746
DCDL-0021244,0.685171102661597,0.000760456273764259,0.114828897338403,0.000760456273764259,0.114828897338403,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.0768060836501901,0.000760456273764259,0.000760456273764259,0.000760456273764259
DCDL-0017963,0.000258732212160414,0.233117723156533,0.000258732212160414,0.000258732212160414,0.000258732212160414,0.000258732212160414,0.000258732212160414,0.453040103492885,0.284864165588616,0.000258732212160414,0.0261319534282018,0.000258732212160414,0.000258732212160414,0.000258732212160414,0.000258732212160414
DCDL-0021850,0.198029556650246,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.198029556650246,0.000985221674876847,0.198029556650246,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.395073891625616,0.000985221674876847,0.000985221674876847,0.000985221674876847
DCDL-0021788,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.983815028901734,0.00115606936416185,0.00115606936416185,0.00115606936416185
DCDL-0021493,0.49706546275395,0.000451467268623025,0.000451467268623025,0.000451467268623025,0.000451467268623025,0.226185101580135,0.000451467268623025,0.000451467268623025,0.000451467268623025,0.000451467268623025,0.000451467268623025,0.271331828442438,0.000451467268623025,0.000451467268623025,0.000451467268623025
DCDL-0021701,0.457034220532319,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.533079847908745,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259
