term,servus_bonus_dominus_domina_medicus_ancilla_video,urbs_miles_domus_pater_totus_neo_exercitus,urbs_romani_postquam_bellum_primus_chr_n,defendo_malus_finis_civitas_tandem_oppidum_subito,pugno_germanus_vir_nonne_bestia_harena_miser,deus_imperator_colo_agricola_ager_domus_romanus,facio_castra_legio_ito_exercitus_tempus_cognosco,amicus_lucius_marcus_video_alius_venio_campus,senatus_jubeo_aeneus_mors_periculum_tantus_filius,mercator_navis_pirata_ito_capio_italiae_alius,juvenis_alius_dominus_tonsor_servus_locus_ludo,romani_senator_publicus_consul_rex_populus_civis
mercator,0.000105853710172542,0.00017102787754404,0.000169577751399016,0.000142918393597256,0.000138946783381965,0.000119803522223553,0.000100532823967025,0.0214280629315868,0.000140904607580668,0.0771125134677543,0.000190585096245474,7.97003267713398e-05
exercitus,0.000105853710172542,0.034376603386352,0.0256062404612515,0.000142918393597256,0.000138946783381965,0.000119803522223553,0.0403136624107771,7.11895778458034e-05,0.000140904607580668,0.000153917192550408,0.000190585096245474,7.97003267713398e-05
jubeo,0.000105853710172542,0.00017102787754404,0.000169577751399016,0.000142918393597256,0.0140336251215784,0.00610997963340122,0.0202070976173721,7.11895778458034e-05,0.0565027476398478,0.000153917192550408,0.000190585096245474,7.97003267713398e-05
senator,0.00539853921879962,0.00017102787754404,0.000169577751399016,0.000142918393597256,0.000138946783381965,0.000119803522223553,0.000100532823967025,7.11895778458034e-05,0.000140904607580668,0.000153917192550408,0.000190585096245474,0.0558699290667092
navis,0.000105853710172542,0.00017102787754404,0.000169577751399016,0.000142918393597256,0.000138946783381965,0.000119803522223553,0.0202070976173721,7.11895778458034e-05,0.000140904607580668,0.0771125134677543,0.000190585096245474,7.97003267713398e-05
publicus,0.000105853710172542,0.00017102787754404,0.000169577751399016,0.0144347577533229,0.000138946783381965,0.000119803522223553,0.000100532823967025,7.11895778458034e-05,0.000140904607580668,0.000153917192550408,0.000190585096245474,0.0478998963895752
jam,0.000105853710172542,0.00017102787754404,0.000169577751399016,0.000142918393597256,0.000138946783381965,0.000119803522223553,0.000100532823967025,0.0107496262547163,0.0212765957446809,0.000153917192550408,0.000190585096245474,0.0279748146967403
legio,0.000105853710172542,0.00017102787754404,0.000169577751399016,0.000142918393597256,0.000138946783381965,0.0121001557445789,0.0553935860058309,7.11895778458034e-05,0.000140904607580668,0.000153917192550408,0.000190585096245474,7.97003267713398e-05
populus,0.000105853710172542,0.00017102787754404,0.000169577751399016,0.000142918393597256,0.000138946783381965,0.000119803522223553,0.000100532823967025,7.11895778458034e-05,0.0212765957446809,0.000153917192550408,0.000190585096245474,0.0399298637124412
tempus,0.000105853710172542,0.00017102787754404,0.000169577751399016,0.000142918393597256,0.000138946783381965,0.000119803522223553,0.0302603800140746,0.024987541823877,0.000140904607580668,0.000153917192550408,0.000190585096245474,7.97003267713398e-05
