identifier,servus_bonus_dominus_domina_medicus_ancilla_video,urbs_miles_domus_pater_totus_neo_exercitus,urbs_romani_postquam_bellum_primus_chr_n,defendo_malus_finis_civitas_tandem_oppidum_subito,pugno_germanus_vir_nonne_bestia_harena_miser,deus_imperator_colo_agricola_ager_domus_romanus,facio_castra_legio_ito_exercitus_tempus_cognosco,amicus_lucius_marcus_video_alius_venio_campus,senatus_jubeo_aeneus_mors_periculum_tantus_filius,mercator_navis_pirata_ito_capio_italiae_alius,juvenis_alius_dominus_tonsor_servus_locus_ludo,romani_senator_publicus_consul_rex_populus_civis
LatinumB:4.1,0.595514950166113,0.000276854928017719,0.000276854928017719,0.000276854928017719,0.000276854928017719,0.000276854928017719,0.000276854928017719,0.000276854928017719,0.000276854928017719,0.000276854928017719,0.194075304540421,0.207918050941307
LatinumB:5.1,0.000273074822501365,0.000273074822501365,0.000273074822501365,0.000273074822501365,0.000273074822501365,0.136810486073184,0.000273074822501365,0.5600764609503,0.000273074822501365,0.000273074822501365,0.000273074822501365,0.300655379574003
LatinumB:6.1,0.000214500214500215,0.0323895323895324,0.000214500214500215,0.000214500214500215,0.000214500214500215,0.000214500214500215,0.000214500214500215,0.107464607464607,0.0752895752895753,0.000214500214500215,0.000214500214500215,0.783140283140283
LatinumB:7.1,0.0276455510801904,0.0367997070670084,0.00018308311973636,0.0276455510801904,0.00018308311973636,0.00018308311973636,0.00018308311973636,0.897290369827902,0.00933723910655438,0.00018308311973636,0.00018308311973636,0.00018308311973636
LatinumB:8.1,0.00018308311973636,0.00018308311973636,0.00018308311973636,0.100878798974735,0.686744782131087,0.00018308311973636,0.00018308311973636,0.210728670816551,0.00018308311973636,0.00018308311973636,0.00018308311973636,0.00018308311973636
LatinumB:9.1,0.000280741156653565,0.000280741156653565,0.000280741156653565,0.140651319483436,0.43542953396968,0.000280741156653565,0.154688377316115,0.238910724312184,0.000280741156653565,0.000280741156653565,0.000280741156653565,0.0283548568220101
LatinumB:10.1,0.000262329485834208,0.18389296956978,0.000262329485834208,0.0789611752360965,0.000262329485834208,0.000262329485834208,0.000262329485834208,0.236358866736621,0.000262329485834208,0.000262329485834208,0.000262329485834208,0.498688352570829
LatinumB:11.1,0.00276243093922652,0.00276243093922652,0.140883977900553,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.00276243093922652,0.279005524861878,0.00276243093922652,0.00276243093922652,0.55524861878453,0.00276243093922652
LatinumB:11.2,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.00381679389312977,0.767175572519084,0.194656488549618
LatinumB:11.3,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.163461538461538,0.80448717948718
