term,river_pike_south_disaster_island_people_mine,city_people_version_comments_word_large_council,made_bank_representing_chch_reserve_paper_left,insurance_council_marryatt_city_pay_tony_ami,toilet_rubble_portaloo_time_damage_portaloos_problems,aftershocks_residents_move_parking_nature_crumbling_mother,buildings_rubble_damage_people_sign_cathedral_representing,red_zone_house_areas_report_city_homes,world_cup_rugby_people_decision_damage_land,people_gambling_runs_wondering_victims_mobile_power,mayor_bob_parker_jersey_body_elections_anderton,red_zone_business_owners_allowed_black_cbd,eqc_contractors_week_list_quakes_paid_hour,john_key_finance_government_prime_billion_english,brownlee_gerry_recovery_buildings_john_damaged_key,aftershocks_liquefaction_rebuild_house_heading_people_couple,ring_ken_people_moon_march_japan_weeks
house,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,0.00767705526462962,4.81486831335163e-05,2.60967144236541e-05,0.0225059186670263,0.00332029323777902,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,0.00826536756253763,0.00332029323777902,3.66045609282917e-05,0.0235147642650755,3.79233190488832e-05
government,4.45057634963728e-05,0.0103634592104875,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,0.0144927536231884,2.60967144236541e-05,0.0120171416584255,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,0.0345507741871856,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
council,4.45057634963728e-05,0.0162685641737282,3.91864884987656e-05,0.034894916829908,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,0.0135155383739399,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
cup,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,2.9967934310288e-05,0.0624938360892863,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,0.00572642117638136
large,4.45057634963728e-05,0.0177448404145384,0.0137544574630667,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,2.9967934310288e-05,0.00825142180873796,4.7463097441739e-05,0.00426718492542989,0.00753684052645393,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,0.0117691277690338,3.79233190488832e-05
mayor,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,0.0824284929654823,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
world,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,2.9967934310288e-05,0.0641375456129393,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
bob,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,0.080316025180616,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
insurance,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,0.0581360602941665,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,0.004964002761432,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
parker,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,0.080316025180616,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
rugby,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,2.60967144236541e-05,2.9967934310288e-05,0.0559189979946744,4.7463097441739e-05,4.22493556973256e-05,0.00566200457459972,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
rebuild,4.45057634963728e-05,0.0118397354512976,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,0.00263576815678906,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,0.00369706065375746,0.0258638915642839,3.79233190488832e-05
representing,4.45057634963728e-05,2.95255248162036e-05,0.0215917551628199,0.0149739367176865,5.08414255935736e-05,4.81486831335163e-05,0.0156841253686161,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,0.0038302552239372
reading,0.00672037028795229,2.95255248162036e-05,3.91864884987656e-05,0.00501344666157575,5.08414255935736e-05,4.81486831335163e-05,0.00655027532033717,0.0165123318049687,3.28741904730596e-05,0.0119132374578765,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,0.004964002761432,0.00552728870017204,2.34912729920834e-05,3.79233190488832e-05
recovery,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,0.00486301699648515,2.60967144236541e-05,2.9967934310288e-05,0.00332029323777902,4.7463097441739e-05,4.22493556973256e-05,0.00378716862274551,5.47375335267393e-05,3.28741904730596e-05,0.0476225337677075,2.34912729920834e-05,3.79233190488832e-05
rubble,4.45057634963728e-05,2.95255248162036e-05,0.00199851091343705,3.32016335203692e-05,0.0280136255020591,4.81486831335163e-05,0.0261228111380777,2.9967934310288e-05,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,3.74967190370843e-05,5.47375335267393e-05,3.28741904730596e-05,3.66045609282917e-05,2.34912729920834e-05,3.79233190488832e-05
damaged,4.45057634963728e-05,2.95255248162036e-05,3.91864884987656e-05,3.32016335203692e-05,5.08414255935736e-05,4.81486831335163e-05,0.0130744539262507,0.00752195151188229,3.28741904730596e-05,4.7463097441739e-05,4.22493556973256e-05,0.0019123326708913,0.00826536756253763,3.28741904730596e-05,0.0165086569786595,2.34912729920834e-05,0.0038302552239372
