term,πολύς_ἄλλος_πόλις_ἱερός_οἰκέω_πρότερος_γίγνομαι,σύμμαχος_σπονδή_πρός_ποιέω_σφεῖς_ἀθηναίους_γίγνομαι,ἀθηναῖοι_ἀναχωρέω_ἀθηναίων_ἵστημι_τις_πολύς_μάχη,γίγνομαι_πόλεμος_δ_τελευτάω_θέρος_χειμών_ἔτος,τις_ὅς_ἄλλος_πολύς_πρός_ἔχω_γίγνομαι,ναῦς_ὁπλίτης_ἄλλος_σύμμαχος_δ_ἀθηναίων_στρατία,τις_δῆμος_πολύς_ὡς_ἄλλος_πόλις_σφεῖς,ναῦς_πρός_θάλασσα_τεῖχος_πολύς_τις_μέγας,ναῦς_πλέω_ὡς_ὅς_ἄλλος_ποιέω_ἀφικνέομαι,βασιλεύς_ἔχω_σύμμαχος_σφεῖς_πρότερος_αἱρέω_ἀθηναίων,ὡς_πολύς_χωρέω_δ_ἄλλος_ἦδος_πρός,ὡς_λέγω_ὅστις_σφεῖς_ἄλλος_τις_πρότερος
πηρός,0.000229307267241883,0.00204646834889928,0.00137981078451314,5.26429387394122e-06,0.00280522456896961,3.9610392182493e-06,0.00592543956428375,0.00332310484797003,0.0046265697290152,0.00491251792442029,0.0015740854720554,0.00281853773906446
πέμπω,0.000229307267241883,0.00519004492170923,5.49725412156628e-06,5.26429387394122e-06,8.62880519523103e-07,0.00752993555389192,5.38187063059378e-06,2.76694824976688e-06,0.00342797653496981,0.00981958355369693,2.61911060242163e-06,0.0112652596700147
ἀθηναίοις,4.49622092631143e-06,0.00754772735131669,5.49725412156628e-06,0.00421669939302692,0.000518591192233385,0.000400064961043179,0.00619453309581344,0.00318475743548168,0.00342797653496981,0.00245898510978196,0.00196695206241864,0.00518954740389261
ἀφικνέομαι,4.49622092631143e-06,3.14357657280995e-06,5.49725412156628e-06,0.00553277286151222,0.00064802327016185,0.00614357182750466,5.38187063059378e-06,0.00207797813557493,0.0101058529017941,0.00927435403933286,2.61911060242163e-06,0.00281853773906446
δέω,4.49622092631143e-06,0.00629029672219271,5.49725412156628e-06,0.00263741123084455,0.00379753716642118,0.00515331202294234,5.38187063059378e-06,0.00180128331059824,0.00291429373752179,5.45229514364072e-06,2.61911060242163e-06,2.96376208103518e-06
πράσσω,4.49622092631143e-06,0.00408979312122574,5.49725412156628e-06,5.26429387394122e-06,0.00280522456896961,3.9610392182493e-06,0.0107691231318182,2.76694824976688e-06,0.00120201774602838,0.00709343598187657,2.61911060242163e-06,0.00400404257147853
μέλλω,4.49622092631143e-06,3.14357657280995e-06,5.49725412156628e-06,0.00237419653714749,0.003193520802755,0.00119227280469304,5.38187063059378e-06,0.00221632554806327,0.00291429373752179,0.00164114083823586,0.00144312994193432,0.00741236896466899
χρόνος,0.0056247723788156,0.00236082600618027,5.49725412156628e-06,0.0113234961228476,0.00129518365980418,0.00297474045290522,0.00404178484357593,0.0016629358981099,0.00103079014687903,0.00327682938132807,0.0015740854720554,2.96376208103518e-06
θάλασσα,0.00629920551776232,0.00141775303433729,0.00385357513921796,5.26429387394122e-06,8.62880519523103e-07,3.9610392182493e-06,5.38187063059378e-06,0.0149442874969909,3.42455198298683e-06,0.0065482064675125,2.61911060242163e-06,2.96376208103518e-06
ὁπλίτης,4.49622092631143e-06,3.14357657280995e-06,0.00495302596353122,5.26429387394122e-06,8.62880519523103e-07,0.0225818845832393,5.38187063059378e-06,0.00249302037303996,3.42455198298683e-06,5.45229514364072e-06,0.00393128501423487,2.96376208103518e-06
