identifier,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14
DCDL-0017203,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.44932735426009,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.000896860986547085,0.269955156950673,0.269955156950673,0.000896860986547085,0.000896860986547085,0.000896860986547085
DCDL-0017142,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.117201166180758,0.437900874635569,0.0588921282798834,0.000583090379008746,0.379591836734694,0.000583090379008746,0.000583090379008746,0.000583090379008746,0.000583090379008746
DCDL-0017173,0.000790513833992095,0.0798418972332016,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.909881422924901,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095
DCDL-0017152,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.988932806324111,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095,0.000790513833992095
DCDL-0017204,0.00130718954248366,0.00130718954248366,0.328104575163399,0.0666666666666667,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.589542483660131
DCDL-0017163,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.78562091503268,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.197385620915033
DCDL-0017252,0.594719471947195,0.0666666666666667,0.00066006600660066,0.00066006600660066,0.00066006600660066,0.00066006600660066,0.00066006600660066,0.00066006600660066,0.00066006600660066,0.0666666666666667,0.00066006600660066,0.264686468646865,0.00066006600660066,0.00066006600660066,0.00066006600660066
DCDL-0017179,0.000760456273764259,0.000760456273764259,0.380988593155894,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.609125475285171,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259,0.000760456273764259
DCDL-0017169,0.000938967136150235,0.000938967136150235,0.000938967136150235,0.000938967136150235,0.000938967136150235,0.000938967136150235,0.000938967136150235,0.705164319248826,0.000938967136150235,0.0948356807511737,0.000938967136150235,0.141784037558685,0.047887323943662,0.000938967136150235,0.000938967136150235
DCDL-0017209,0.000382409177820268,0.000382409177820268,0.000382409177820268,0.000382409177820268,0.000382409177820268,0.000382409177820268,0.000382409177820268,0.000382409177820268,0.0195028680688337,0.000382409177820268,0.000382409177820268,0.000382409177820268,0.000382409177820268,0.000382409177820268,0.975525812619503
DCDL-0017226,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.636994219653179,0.00115606936416185,0.347976878612717,0.00115606936416185,0.00115606936416185
DCDL-0017213,0.641379310344828,0.000985221674876847,0.296551724137931,0.000985221674876847,0.000985221674876847,0.0502463054187192,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.000985221674876847
DCDL-0017181,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.823868312757202,0.000823045267489712,0.000823045267489712,0.165432098765432,0.000823045267489712,0.000823045267489712,0.000823045267489712,0.000823045267489712
DCDL-0017200,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.178761061946903,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.178761061946903,0.00176991150442478,0.00176991150442478,0.621238938053097
DCDL-0017147,0.000858369098712446,0.000858369098712446,0.000858369098712446,0.000858369098712446,0.000858369098712446,0.000858369098712446,0.000858369098712446,0.945064377682403,0.000858369098712446,0.000858369098712446,0.0437768240343348,0.000858369098712446,0.000858369098712446,0.000858369098712446,0.000858369098712446
