term,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15
text,3.08556265234966e-05,3.37735148096863e-05,3.98263570831176e-05,6.28575020428688e-05,3.06663804471158e-05,2.97982657409339e-05,4.2718612499466e-05,3.28310187465117e-05,0.0098344926840969,0.0263012690822145,0.00533399272316225,0.0301224864916256,2.33323222660351e-05,0.0148729243485362,3.18887719633917e-05
city,3.08556265234966e-05,0.0135431794386842,3.98263570831176e-05,6.28575020428688e-05,3.06663804471158e-05,2.97982657409339e-05,4.2718612499466e-05,3.28310187465117e-05,2.1805970474716e-05,0.00659502351611971,3.53244551202798e-05,0.0483449270310098,2.33323222660351e-05,2.47469623103764e-05,3.18887719633917e-05
zealand,3.08556265234966e-05,3.37735148096863e-05,0.0199530048986419,6.28575020428688e-05,0.0260970897604956,2.97982657409339e-05,4.2718612499466e-05,3.28310187465117e-05,2.1805970474716e-05,2.62749940881263e-05,0.0176975520152602,0.0166537260929503,2.33323222660351e-05,0.00868618377094212,3.18887719633917e-05
damage,3.08556265234966e-05,3.37735148096863e-05,3.98263570831176e-05,6.28575020428688e-05,3.06663804471158e-05,2.97982657409339e-05,4.2718612499466e-05,3.28310187465117e-05,0.0469046424911141,0.0105362726293387,3.53244551202798e-05,1.58456004690298e-05,0.00702302900207658,0.00868618377094212,3.18887719633917e-05
john,0.0725415779567404,3.37735148096863e-05,3.98263570831176e-05,0.00634860770632975,3.06663804471158e-05,0.00300962483983432,4.2718612499466e-05,0.00824058570537444,2.1805970474716e-05,2.62749940881263e-05,3.53244551202798e-05,1.58456004690298e-05,2.33323222660351e-05,0.0074488356554233,3.18887719633917e-05
buildings,3.08556265234966e-05,3.37735148096863e-05,3.98263570831176e-05,6.28575020428688e-05,3.06663804471158e-05,0.0298280640066748,4.2718612499466e-05,3.28310187465117e-05,0.00874419416036111,2.62749940881263e-05,3.53244551202798e-05,0.0150691660460473,0.0140227256818871,2.47469623103764e-05,3.18887719633917e-05
government,0.0308864821500201,3.37735148096863e-05,3.98263570831176e-05,6.28575020428688e-05,0.0414302799840535,2.97982657409339e-05,4.2718612499466e-05,0.00659903476804885,2.1805970474716e-05,2.62749940881263e-05,0.00886643823519022,1.58456004690298e-05,0.00352318066217131,2.47469623103764e-05,3.18887719633917e-05
red,3.08556265234966e-05,3.37735148096863e-05,3.98263570831176e-05,6.28575020428688e-05,3.06663804471158e-05,2.97982657409339e-05,4.2718612499466e-05,3.28310187465117e-05,2.1805970474716e-05,2.62749940881263e-05,3.53244551202798e-05,0.000808125623920518,0.0676870668937679,2.47469623103764e-05,3.18887719633917e-05
key,0.0817982659137894,3.37735148096863e-05,3.98263570831176e-05,0.0126343579106166,3.06663804471158e-05,2.97982657409339e-05,4.2718612499466e-05,3.28310187465117e-05,2.1805970474716e-05,2.62749940881263e-05,3.53244551202798e-05,1.58456004690298e-05,2.33323222660351e-05,2.47469623103764e-05,3.18887719633917e-05
quake,3.08556265234966e-05,0.0118545036981999,3.98263570831176e-05,6.28575020428688e-05,3.06663804471158e-05,0.0149289311362079,4.2718612499466e-05,0.00331593289339768,2.1805970474716e-05,0.0157912714469639,0.0176975520152602,1.58456004690298e-05,2.33323222660351e-05,2.47469623103764e-05,0.0127873975573201
canterbury,3.08556265234966e-05,3.37735148096863e-05,3.98263570831176e-05,6.28575020428688e-05,3.06663804471158e-05,0.0164188444232546,4.2718612499466e-05,3.28310187465117e-05,2.1805970474716e-05,0.00922252292493234,3.53244551202798e-05,0.00635408578808094,0.0105228773419818,2.47469623103764e-05,0.020759590548168
june,0.0170014502144466,3.37735148096863e-05,3.98263570831176e-05,6.28575020428688e-05,3.06663804471158e-05,2.97982657409339e-05,4.2718612499466e-05,3.28310187465117e-05,2.1805970474716e-05,0.0105362726293387,0.037126002331414,0.00476952574117796,2.33323222660351e-05,2.47469623103764e-05,3.18887719633917e-05
recovery,0.0262581381714956,3.37735148096863e-05,3.98263570831176e-05,6.28575020428688e-05,3.06663804471158e-05,0.0432372835900951,4.2718612499466e-05,3.28310187465117e-05,2.1805970474716e-05,2.62749940881263e-05,3.53244551202798e-05,1.58456004690298e-05,2.33323222660351e-05,2.47469623103764e-05,3.18887719633917e-05
cup,3.08556265234966e-05,3.37735148096863e-05,3.98263570831176e-05,6.28575020428688e-05,3.06663804471158e-05,2.97982657409339e-05,4.2718612499466e-05,3.28310187465117e-05,2.1805970474716e-05,2.62749940881263e-05,3.53244551202798e-05,1.58456004690298e-05,2.33323222660351e-05,0.0557054121606573,3.18887719633917e-05
world,3.08556265234966e-05,3.37735148096863e-05,0.00601377991955076,6.28575020428688e-05,3.06663804471158e-05,2.97982657409339e-05,4.2718612499466e-05,3.28310187465117e-05,2.1805970474716e-05,2.62749940881263e-05,3.53244551202798e-05,1.58456004690298e-05,2.33323222660351e-05,0.0519933678141008,3.18887719633917e-05
zone,3.08556265234966e-05,3.37735148096863e-05,3.98263570831176e-05,6.28575020428688e-05,3.06663804471158e-05,2.97982657409339e-05,4.2718612499466e-05,3.28310187465117e-05,2.1805970474716e-05,2.62749940881263e-05,3.53244551202798e-05,1.58456004690298e-05,0.0478545929676381,2.47469623103764e-05,0.00322076596830256
magnitude,3.08556265234966e-05,3.37735148096863e-05,3.98263570831176e-05,6.28575020428688e-05,3.06663804471158e-05,2.97982657409339e-05,4.2718612499466e-05,0.0016743819560721,0.0447240454436425,2.62749940881263e-05,3.53244551202798e-05,1.58456004690298e-05,2.33323222660351e-05,2.47469623103764e-05,3.18887719633917e-05
brownlee,0.0123731062359221,3.37735148096863e-05,3.98263570831176e-05,6.28575020428688e-05,3.06663804471158e-05,0.0491969367382818,4.2718612499466e-05,3.28310187465117e-05,2.1805970474716e-05,2.62749940881263e-05,3.53244551202798e-05,1.58456004690298e-05,2.33323222660351e-05,2.47469623103764e-05,3.18887719633917e-05
