identifier,locum_pars_flumen_oppidum_omnis_collis_pedum,res_omnis_consilium_cognosco_neo_video_habeo,omnis_res_hostis_magnus_locum_tantus_noster,finis_omnis_magnus_ager_oppidum_transeo_frumentum,mille_passus_circiter_dies_omnis_numerus_ito,navis_magnus_utor_omnis_pars_reliquus_tempus,hostis_noster_legio_proelium_pars_locum_magnus,legio_pars_mitto_caesar_lego_omnis_duo,castra_hostis_locum_caesar_equito_castrum_copia,facio_mitto_lego_impero_civitas_caesarem_res,oppidum_magnus_pars_murus_omnis_noster_munitio,civitas_omnis_populus_habeo_magnus_res_romani
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.3.1,0.000825082508250825,0.0420792079207921,0.000825082508250825,0.495874587458746,0.000825082508250825,0.000825082508250825,0.000825082508250825,0.124587458745875,0.000825082508250825,0.248349834983498,0.000825082508250825,0.0833333333333333
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.3.2,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.867965367965368,0.00216450216450216,0.00216450216450216,0.11038961038961,0.00216450216450216
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.3.3,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.0388719512195122,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.00076219512195122,0.953506097560976
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.3.4,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.984550561797753
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.3.5,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.218614718614719,0.00216450216450216,0.75974025974026
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.3.6,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.268683274021352,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.713523131672598
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.3.7,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.247536945812808,0.00123152709359606,0.740147783251232
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.4.1,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.35252808988764,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.492977528089888,0.00140449438202247,0.14185393258427
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.4.2,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.315647482014388,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.675359712230216
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.4.3,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.0770392749244713,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.90785498489426
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.4.4,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.323717948717949,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.00320512820512821,0.163461538461538,0.00320512820512821,0.483974358974359
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.5.1,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.976190476190476
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.5.2,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.984550561797753,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.5.3,0.000620347394540943,0.000620347394540943,0.155707196029777,0.838089330024814,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.000620347394540943,0.000620347394540943
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.6.1,0.560240963855422,0.000860585197934596,0.000860585197934596,0.431153184165232,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.000860585197934596
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.6.2,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.616995073891626,0.00123152709359606,0.00123152709359606,0.309113300492611,0.00123152709359606,0.062807881773399,0.00123152709359606,0.00123152709359606,0.00123152709359606
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.6.3,0.000473484848484848,0.000473484848484848,0.000473484848484848,0.521306818181818,0.000473484848484848,0.000473484848484848,0.000473484848484848,0.000473484848484848,0.000473484848484848,0.000473484848484848,0.000473484848484848,0.473958333333333
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.7.1,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.92487684729064,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.00123152709359606,0.062807881773399,0.00123152709359606,0.00123152709359606
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.7.2,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.492977528089888,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.35252808988764,0.00140449438202247,0.14185393258427,0.00140449438202247,0.00140449438202247
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.7.3,0.0478219696969697,0.000473484848484848,0.000473484848484848,0.0241477272727273,0.000473484848484848,0.000473484848484848,0.000473484848484848,0.000473484848484848,0.000473484848484848,0.260890151515151,0.000473484848484848,0.663352272727273
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.7.4,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.165032679738562,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.0833333333333333,0.00163398692810458,0.736928104575163
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.7.5,0.00163398692810458,0.00163398692810458,0.165032679738562,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.00163398692810458,0.818627450980392,0.00163398692810458,0.00163398692810458
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.8.1,0.560240963855422,0.000860585197934596,0.000860585197934596,0.259036144578313,0.172977624784854,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.000860585197934596,0.000860585197934596
urn:cts:latinLit:phi0448.phi001.perseus-lat1:1.8.2,0.5355871886121,0.00177935943060498,0.00177935943060498,0.357651245551601,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.00177935943060498,0.0907473309608541,0.00177935943060498,0.00177935943060498,0.00177935943060498
