term,locum_pars_flumen_oppidum_omnis_collis_pedum,res_omnis_consilium_cognosco_neo_video_habeo,omnis_res_hostis_magnus_locum_tantus_noster,finis_omnis_magnus_ager_oppidum_transeo_frumentum,mille_passus_circiter_dies_omnis_numerus_ito,navis_magnus_utor_omnis_pars_reliquus_tempus,hostis_noster_legio_proelium_pars_locum_magnus,legio_pars_mitto_caesar_lego_omnis_duo,castra_hostis_locum_caesar_equito_castrum_copia,facio_mitto_lego_impero_civitas_caesarem_res,oppidum_magnus_pars_murus_omnis_noster_munitio,civitas_omnis_populus_habeo_magnus_res_romani
civitas,1.15362873919915e-05,0.00704056089997245,5.66305929789391e-06,0.00267667177598316,1.37300399544163e-05,1.04566415358715e-05,5.04075450013358e-06,0.00873399145348875,6.98406933784039e-06,0.0207006240211632,1.12066163863145e-05,0.0234029369580948
dies,1.15362873919915e-05,0.0108510226693164,5.66305929789391e-06,0.0103025172916047,0.0261008059533453,1.04566415358715e-05,5.04075450013358e-06,0.00485509073395266,0.0125783088774505,0.0113687080570951,0.0100971613640693,4.33307479320401e-06
superus,0.0115478236793835,0.0082130106751552,0.00708448718166528,7.62584551562155e-06,0.0041327420262793,0.0125584264845817,0.00655802160467379,0.00550157418720868,0.00594344300650217,8.11470953397223e-06,1.12066163863145e-05,0.00758721396290021
habeo,0.0121246380489831,0.0117303600007035,0.00453611049761302,7.62584551562155e-06,1.37300399544163e-05,0.0125584264845817,5.04075450013358e-06,0.00550157418720868,6.98406933784039e-06,0.00284826304642425,1.12066163863145e-05,0.0151700948510072
equito,1.15362873919915e-05,0.00147142446785436,0.00623502828698119,7.62584551562155e-06,0.00893825601032499,1.04566415358715e-05,0.0108426629297873,0.00841074972686074,0.021308395549751,0.0081228242435062,1.12066163863145e-05,4.33307479320401e-06
mitto,1.15362873919915e-05,5.86224887591378e-06,5.66305929789391e-06,7.62584551562155e-06,1.37300399544163e-05,1.04566415358715e-05,5.04075450013358e-06,0.019724210158841,0.0146735296788027,0.0300325399852312,1.12066163863145e-05,0.00260417795071561
reliquus,0.00231879376579029,0.00909234800654227,5.66305929789391e-06,0.00763347136113717,1.37300399544163e-05,0.0136040906381688,0.00857432340472722,0.00873399145348875,0.00524503607271813,0.00163105661632842,0.00561451480954355,0.00368744664901661
neo,0.00635649435298732,0.0137821471072733,0.0121812405497698,7.62584551562155e-06,1.37300399544163e-05,1.04566415358715e-05,0.00428968207961368,0.00323888210081263,0.00664184994028621,0.0117744435337937,1.12066163863145e-05,0.00152090925241461
ito,0.00520286561378817,0.000592087136467292,5.66305929789391e-06,0.00839605591269932,0.0178627819806956,0.00837576987023308,0.00504579525463371,0.00905723318011675,0.00384822220515005,0.0138031209172868,1.12066163863145e-05,0.00195421673173501
miles,1.15362873919915e-05,0.0082130106751552,0.0118980875848751,0.00305796405176424,0.00893825601032499,0.00210178494871017,0.011850813829814,6.46483453256014e-06,0.00140379793690592,0.00528267590661592,0.00953683054475362,4.33307479320401e-06
copia,0.0069333087225869,5.86224887591378e-06,0.00736764014655998,0.0110651018431669,0.0116842640012082,1.04566415358715e-05,5.04075450013358e-06,0.00841074972686074,0.020959192082859,8.11470953397223e-06,1.12066163863145e-05,0.00108760177309421
castrum,1.15362873919915e-05,5.86224887591378e-06,0.00991601683061223,7.62584551562155e-06,0.0171762799829747,1.04566415358715e-05,0.0088263611297339,6.46483453256014e-06,0.021308395549751,8.11470953397223e-06,0.00785583808680645,4.33307479320401e-06
video,1.15362873919915e-05,0.0123165848882948,0.0113317816550857,7.62584551562155e-06,1.37300399544163e-05,1.04566415358715e-05,0.00706209705468715,6.46483453256014e-06,0.00873707074163832,8.11470953397223e-06,0.0123384846413322,0.00282083169037581
venio,1.15362873919915e-05,0.00147142446785436,0.00708448718166528,7.62584551562155e-06,0.0103112600057666,1.04566415358715e-05,0.00428968207961368,0.00162267346767259,0.0136259192781266,0.0158317983007798,1.12066163863145e-05,0.00498736908697781
causa,0.000588350656991567,0.0111441351131121,0.00850025200613876,0.00648959453379393,1.37300399544163e-05,1.04566415358715e-05,5.04075450013358e-06,0.00485509073395266,6.98406933784039e-06,0.0142088563939854,1.12066163863145e-05,0.00628729152493901
cognosco,1.15362873919915e-05,0.014075259551069,0.00255403974335015,0.00572700998223178,0.00550574602172092,0.00471594533267805,5.04075450013358e-06,6.46483453256014e-06,0.0174671574139388,0.00325399852312287,1.12066163863145e-05,0.00260417795071561
unus,0.0109710093097839,0.00381632401821987,5.66305929789391e-06,0.00915864046426148,1.37300399544163e-05,0.00680727363985235,0.00706209705468715,0.00711778282034871,0.00140379793690592,0.000413850186232584,1.12066163863145e-05,0.00737056022324001
oppidum,0.0167391530057797,5.86224887591378e-06,0.00368665160292893,0.0179283628072263,0.0041327420262793,1.04566415358715e-05,5.04075450013358e-06,6.46483453256014e-06,0.00349901873825803,0.00244252756972564,0.0252260934855939,4.33307479320401e-06
exercitus,1.15362873919915e-05,0.00410943646201556,0.00708448718166528,0.0106838095673858,1.37300399544163e-05,1.04566415358715e-05,5.04075450013358e-06,0.0119664087197688,0.00768946034096226,0.00244252756972564,1.12066163863145e-05,0.00498736908697781
multus,1.15362873919915e-05,0.00528188623719831,0.00368665160292893,0.00458313315488855,0.00070023203767523,0.00837576987023308,0.00807024795471386,0.00291564037418462,6.98406933784039e-06,8.11470953397223e-06,0.00449385317091211,0.00888713640086142
lego,1.15362873919915e-05,0.00176453691165005,5.66305929789391e-06,7.62584551562155e-06,1.37300399544163e-05,1.04566415358715e-05,5.04075450013358e-06,0.0177847597990729,6.98406933784039e-06,0.029221069031834,1.12066163863145e-05,0.00325413916969621
consilium,1.15362873919915e-05,0.0181788337642086,0.00651818125187589,0.00267667177598316,1.37300399544163e-05,1.04566415358715e-05,5.04075450013358e-06,0.00453184900732466,0.00524503607271813,8.11470953397223e-06,1.12066163863145e-05,0.00563733030595841
finis,1.15362873919915e-05,0.00264387424303711,5.66305929789391e-06,0.0305110079080018,1.37300399544163e-05,1.04566415358715e-05,5.04075450013358e-06,0.00970371663337277,6.98406933784039e-06,0.00649988233671176,1.12066163863145e-05,0.00238752421105541
proelium,1.15362873919915e-05,5.86224887591378e-06,0.00170458084866607,0.00267667177598316,1.37300399544163e-05,1.04566415358715e-05,0.0158834174299209,6.46483453256014e-06,0.0153719366125867,0.00568841138331453,1.12066163863145e-05,0.00217087047139521
bellus,1.15362873919915e-05,0.0111441351131121,5.66305929789391e-06,7.62584551562155e-06,1.37300399544163e-05,0.0104670981774074,5.04075450013358e-06,0.00582481591383669,6.98406933784039e-06,0.00609414686001315,1.12066163863145e-05,0.0104037125784828
castra,1.15362873919915e-05,5.86224887591378e-06,0.0059518753220865,0.00343925632754532,0.0041327420262793,1.04566415358715e-05,0.00126522937953353,6.46483453256014e-06,0.0317844995565116,8.11470953397223e-06,0.00393352235159638,4.33307479320401e-06
mille,1.15362873919915e-05,5.86224887591378e-06,5.66305929789391e-06,7.62584551562155e-06,0.093378001729985,1.04566415358715e-05,5.04075450013358e-06,6.46483453256014e-06,6.98406933784039e-06,8.11470953397223e-06,1.12066163863145e-05,4.33307479320401e-06
tempus,1.15362873919915e-05,0.00909234800654227,0.00906655793592815,7.62584551562155e-06,1.37300399544163e-05,0.0130812585613753,5.04075450013358e-06,0.00259239864755662,0.0010545944700139,8.11470953397223e-06,0.00953683054475362,0.00347079290935641
utor,1.15362873919915e-05,0.00352321157442418,5.66305929789391e-06,0.00343925632754532,1.37300399544163e-05,0.0214465717900725,5.04075450013358e-06,6.46483453256014e-06,0.00664184994028621,0.00893429519690343,1.12066163863145e-05,0.00628729152493901
dico,0.00289560813538987,0.00528188623719831,0.00368665160292893,0.00458313315488855,1.37300399544163e-05,0.00262461702550375,5.04075450013358e-06,6.46483453256014e-06,6.98406933784039e-06,0.014614591870684,1.12066163863145e-05,0.00607063778527881
jubeo,1.15362873919915e-05,5.86224887591378e-06,5.66305929789391e-06,0.00458313315488855,1.37300399544163e-05,1.04566415358715e-05,5.04075450013358e-06,0.00970371663337277,0.0164195470132627,0.0113687080570951,1.12066163863145e-05,4.33307479320401e-06
