identifier,ام_دارم_خواهم_ندارم_شمع_آتش_عشق,حقیقت_عین_راز_یقین_جانان_اسرار_کل,غم_عشق_جهان_درد_یار_وصل_خاقانی,شاه_پیر_جهان_زانکه_حق_حال_شیخ,عقل_دین_مر_جهان_خرد_خلق_باش,دین_عالم_عقل_حق_نور_روح_علم,آدم_حق_راز_پرده_عشق_کل_نمود,عشق_جهان_ذره_عالم_عطار_گم_عقل,زلف_لب_آتش_رخ_خط_عشق_لعل,حق_دین_علم_اسرار_جهان_شوی_دان,اند_صبح_فلک_شاه_کعبه_خاقانی_آمده,شاه_داشت_افتاد_شه_جهان_بودی_بسی,بینی_عالم_چرا_باشی_بسی_زهی_جهان,ملک_جهان_فلک_عدل_دولت_آسمان_رای,عشق_گه_زن_جام_درد_مست_عاشق
urn:cts:perslit:sanaee.divans:ghgh.185,0.00273972602739726,0.00273972602739726,0.00273972602739726,0.00273972602739726,0.00273972602739726,0.00273972602739726,0.00273972602739726,0.00273972602739726,0.00273972602739726,0.00273972602739726,0.00273972602739726,0.00273972602739726,0.00273972602739726,0.961643835616438,0.00273972602739726
urn:cts:perslit:sanaee.divans:ghgh.186,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.584466019417476,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.196116504854369,0.00194174757281553,0.00194174757281553,0.196116504854369,0.00194174757281553,0.00194174757281553,0.00194174757281553
urn:cts:perslit:sanaee.divans:ghgh.187,0.000638977635782748,0.0325878594249201,0.384025559105431,0.000638977635782748,0.000638977635782748,0.000638977635782748,0.0325878594249201,0.000638977635782748,0.000638977635782748,0.000638977635782748,0.543769968051118,0.000638977635782748,0.000638977635782748,0.000638977635782748,0.000638977635782748
urn:cts:perslit:sanaee.divans:ghgh.188,0.13202614379085,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.328104575163399,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.262745098039216,0.00130718954248366,0.00130718954248366,0.262745098039216
urn:cts:perslit:sanaee.divans:ghgh.189,0.00068259385665529,0.00068259385665529,0.00068259385665529,0.00068259385665529,0.239590443686007,0.3419795221843,0.0348122866894198,0.00068259385665529,0.00068259385665529,0.00068259385665529,0.00068259385665529,0.171331058020478,0.00068259385665529,0.205460750853242,0.00068259385665529
urn:cts:perslit:sanaee.divans:ghgh.18,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.972815533980583,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553
urn:cts:perslit:sanaee.divans:ghgh.190,0.000985221674876847,0.000985221674876847,0.641379310344828,0.000985221674876847,0.345812807881773,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.000985221674876847,0.000985221674876847
urn:cts:perslit:sanaee.divans:ghgh.191,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.985492227979275,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181,0.00103626943005181
urn:cts:perslit:sanaee.divans:ghgh.192,0.390291262135922,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.00194174757281553,0.0990291262135923,0.00194174757281553,0.487378640776699,0.00194174757281553
urn:cts:perslit:sanaee.divans:ghgh.193,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.524183006535948,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.458823529411765,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366
urn:cts:perslit:sanaee.divans:ghgh.194,0.000170502983802217,0.000170502983802217,0.000170502983802217,0.000170502983802217,0.000170502983802217,0.000170502983802217,0.000170502983802217,0.0257459505541347,0.170673486786019,0.000170502983802217,0.110997442455243,0.000170502983802217,0.648081841432225,0.0427962489343564,0.000170502983802217
urn:cts:perslit:sanaee.divans:ghgh.195,0.00150375939849624,0.0766917293233083,0.00150375939849624,0.452631578947368,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.452631578947368,0.00150375939849624,0.00150375939849624
urn:cts:perslit:sanaee.divans:ghgh.196,0.00130718954248366,0.00130718954248366,0.197385620915033,0.00130718954248366,0.78562091503268,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366
urn:cts:perslit:sanaee.divans:ghgh.197,0.00176991150442478,0.00176991150442478,0.355752212389381,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.621238938053097,0.00176991150442478,0.00176991150442478
urn:cts:perslit:sanaee.divans:ghgh.198,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.886725663716814,0.00176991150442478,0.00176991150442478,0.0902654867256637,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478
urn:cts:perslit:sanaee.divans:ghgh.199,0.00240963855421687,0.00240963855421687,0.00240963855421687,0.00240963855421687,0.966265060240964,0.00240963855421687,0.00240963855421687,0.00240963855421687,0.00240963855421687,0.00240963855421687,0.00240963855421687,0.00240963855421687,0.00240963855421687,0.00240963855421687,0.00240963855421687
