term,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30,topic31,topic32,topic33,topic34,topic35,topic36,topic37
ب.د.ر,0.0133333333333333,0.000701754385964912,0.0133333333333333,0.00210526315789474,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00444444444444444,0.0133333333333333,0.0133333333333333,0.000470588235294118,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.12,0.00102564102564103,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00444444444444444,0.0133333333333333,0.00114285714285714,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.208275862068966,0.000701754385964912,0.000579710144927536,0.0133333333333333,0.000563380281690141,0.00114285714285714,0.000754716981132075,0.000655737704918033
ض.م.,0.0133333333333333,0.000701754385964912,0.0133333333333333,0.00210526315789474,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00444444444444444,0.0133333333333333,0.0133333333333333,0.000470588235294118,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.20955223880597,0.00102564102564103,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00444444444444444,0.0133333333333333,0.00114285714285714,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00137931034482759,0.000701754385964912,0.000579710144927536,0.0133333333333333,0.000563380281690141,0.00114285714285714,0.000754716981132075,0.000655737704918033
قريظة,0.0133333333333333,0.000701754385964912,0.0133333333333333,0.00210526315789474,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00444444444444444,0.0133333333333333,0.0133333333333333,0.000470588235294118,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00102564102564103,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00444444444444444,0.0133333333333333,0.0582857142857143,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00137931034482759,0.000701754385964912,0.174492753623188,0.0133333333333333,0.000563380281690141,0.00114285714285714,0.000754716981132075,0.000655737704918033
أ.م.ر.,0.0133333333333333,0.176140350877193,0.0133333333333333,0.00210526315789474,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00444444444444444,0.0133333333333333,0.0133333333333333,0.000470588235294118,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00102564102564103,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00444444444444444,0.0133333333333333,0.00114285714285714,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00137931034482759,0.000701754385964912,0.000579710144927536,0.0133333333333333,0.000563380281690141,0.00114285714285714,0.0384905660377359,0.000655737704918033
جاء,0.0133333333333333,0.105964912280702,0.0133333333333333,0.00210526315789474,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00444444444444444,0.0133333333333333,0.0133333333333333,0.000470588235294118,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0901492537313433,0.00102564102564103,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00444444444444444,0.0133333333333333,0.00114285714285714,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00137931034482759,0.000701754385964912,0.000579710144927536,0.0133333333333333,0.000563380281690141,0.00114285714285714,0.000754716981132075,0.000655737704918033
ج.د.,0.0133333333333333,0.0357894736842105,0.0133333333333333,0.00210526315789474,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00444444444444444,0.0133333333333333,0.0133333333333333,0.000470588235294118,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00102564102564103,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00444444444444444,0.0133333333333333,0.00114285714285714,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00137931034482759,0.000701754385964912,0.000579710144927536,0.0133333333333333,0.141408450704225,0.00114285714285714,0.000754716981132075,0.000655737704918033
حار.ث,0.0133333333333333,0.000701754385964912,0.0133333333333333,0.00210526315789474,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00444444444444444,0.0133333333333333,0.0133333333333333,0.000470588235294118,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00102564102564103,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00444444444444444,0.0133333333333333,0.00114285714285714,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00137931034482759,0.000701754385964912,0.087536231884058,0.0133333333333333,0.000563380281690141,0.00114285714285714,0.113962264150943,0.000655737704918033
د.عا,0.0133333333333333,0.000701754385964912,0.0133333333333333,0.00210526315789474,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00444444444444444,0.0133333333333333,0.0133333333333333,0.000470588235294118,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00102564102564103,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00444444444444444,0.0133333333333333,0.00114285714285714,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00137931034482759,0.000701754385964912,0.000579710144927536,0.0133333333333333,0.000563380281690141,0.00114285714285714,0.000754716981132075,0.197377049180328
ر.ح.م.ن,0.0133333333333333,0.000701754385964912,0.0133333333333333,0.107368421052632,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00444444444444444,0.0133333333333333,0.0133333333333333,0.000470588235294118,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00102564102564103,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00444444444444444,0.0133333333333333,0.00114285714285714,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00137931034482759,0.000701754385964912,0.000579710144927536,0.0133333333333333,0.141408450704225,0.00114285714285714,0.000754716981132075,0.000655737704918033
س.ن.,0.0133333333333333,0.000701754385964912,0.0133333333333333,0.00210526315789474,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00444444444444444,0.0133333333333333,0.0133333333333333,0.000470588235294118,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.000597014925373134,0.00102564102564103,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.00444444444444444,0.0133333333333333,0.00114285714285714,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.139310344827586,0.141052631578947,0.000579710144927536,0.0133333333333333,0.000563380281690141,0.00114285714285714,0.000754716981132075,0.000655737704918033
