identifier,TopicValue2,Topic,TopicValue,Date,Month,Publisher,Republished,Sewerage,Disasters_PA,Infrastructure,Earthquake_aftershocks,NameAuthorities,EQPred_RingKen,Brownlee,KeyJohn,ParkerRobert,CHCHCityCouncil,EnglishSimon,MarryattTony,RingKen,SouthCanterburyFinanceLtd,CERA,AMI,ChristchurchCathedral,aftershocks_appears_holds_economy_bank_rate_made,portaloo_asks_centre_small_infrastructure_head_crane,buildings_people_rubble_building_broken_collapsed_arm,people_pm_homes_government_june_show_part,recovery_cera_damage_eqc_prime_rebuilding_back,red_city_areas_house_black_move_liquefaction,people_called_replies_refugees_ken_ring_couple_heading,aftershocks_word_aftershock_magnitude_liquefaction_continuing_fight,insurance_huge_hit_version_companies_words_june,city_council_tony_marryatt_mayor_comments_pay_rise_public,cup_rugby_world_world_damage_auckland_decision_rugby,business_red_zone_cbd_buildings_large_words_owners,city_rebuild_buildings_heading_house_rebuilding_title,mayor_toilet_standing_anderton_paper_wife_toilets,march_news_japan_port_moon_day_tsunami,finance_government_billion_reading_cost_south_damage,great_pike_river_south_island_weather_snow_aftershocks_represents
DCDL-0015552,16.5476839237057,finance_government_billion_reading_cost_south_damage,0.547683923705722,09/09/2010,2010-09,Southland times (Newspaper),0,0,0,0,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.275204359673025,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.00272479564032698,0.138964577656676,0.00272479564032698,0.00272479564032698,0.547683923705722,0.00272479564032698
DCDL-0015558,14.5592747559275,mayor_toilet_standing_anderton_paper_wife_toilets,0.559274755927476,11/09/2010,2010-09,Northern advocate (Newspaper),0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.280334728033473,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.140864714086471,0.00139470013947001,0.559274755927476,0.00139470013947001,0.00139470013947001,0.00139470013947001
DCDL-0015561,13.4372955288986,city_rebuild_buildings_heading_house_rebuilding_title,0.437295528898582,13/09/2010,2010-09,Waikato times (Newspaper),0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.382769901853871,0.00109051254089422,0.164667393675027,0.00109051254089422,0.437295528898582,0.00109051254089422,0.00109051254089422,0.00109051254089422,0.00109051254089422
DCDL-0015562,14.9434447300771,mayor_toilet_standing_anderton_paper_wife_toilets,0.943444730077121,14/09/2010,2010-09,Waikato times (Newspaper),0,0,0,0,0,"Anderton, James Patrick (Hon), 1938- (name_authority) # Parker, Robert John (Sir), 1953- (name_authority)",0,0,0,1,0,0,0,0,0,0,0,0,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.000856898029134533,0.943444730077121,0.0437017994858612,0.000856898029134533,0.000856898029134533
DCDL-0015572,16.6968398500268,finance_government_billion_reading_cost_south_damage,0.696839850026781,15/09/2010,2010-09,Nelson mail (Newspaper),1,0,0,1,0,"Key, John Phillip (Rt Hon), 1961- (name_authority) # South Canterbury Finance Ltd (name_authority)",0,0,1,0,0,0,0,0,1,0,0,0,0.000535618639528656,0.000535618639528656,0.000535618639528656,0.000535618639528656,0.000535618639528656,0.000535618639528656,0.000535618639528656,0.000535618639528656,0.161221210498125,0.000535618639528656,0.000535618639528656,0.000535618639528656,0.000535618639528656,0.134440278521693,0.000535618639528656,0.696839850026781,0.000535618639528656
DCDL-0015573,16.8260869565217,finance_government_billion_reading_cost_south_damage,0.826086956521739,18/09/2010,2010-09,Listener (Serial),0,0,0,1,0,"English, Simon William (Hon), 1961- (name_authority) # Key, John Phillip (Rt Hon), 1961- (name_authority) # South Canterbury Finance Ltd (name_authority)",0,0,1,0,0,1,0,0,1,0,0,0,0.000550357732526142,0.000550357732526142,0.000550357732526142,0.000550357732526142,0.000550357732526142,0.000550357732526142,0.000550357732526142,0.000550357732526142,0.165657677490369,0.000550357732526142,0.000550357732526142,0.000550357732526142,0.000550357732526142,0.000550357732526142,0.000550357732526142,0.826086956521739,0.000550357732526142
DCDL-0015605,17.4226804123711,great_pike_river_south_island_weather_snow_aftershocks_represents,0.422680412371134,20/09/2010,2010-09,Marlborough Express (Newspaper),0,0,0,0,0,"South Canterbury Finance Ltd (name_authority)",0,0,0,0,0,0,0,0,1,0,0,0,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.000937207122774133,0.141518275538894,0.000937207122774133,0.000937207122774133,0.0477975632614808,0.0477975632614808,0.000937207122774133,0.000937207122774133,0.328959700093721,0.422680412371134
DCDL-0015607,5.73844641101278,recovery_cera_damage_eqc_prime_rebuilding_back,0.738446411012783,18/09/2010,2010-09,Northern advocate (Newspaper),0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.738446411012783,0.246804326450344,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877,0.000983284169124877
DCDL-0015611,8.77562862669246,aftershocks_word_aftershock_magnitude_liquefaction_continuing_fight,0.775628626692456,21/09/2010,2010-09,Dominion post (Newspaper),1,0,0,0,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0.195357833655706,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.775628626692456,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917,0.00193423597678917
DCDL-0015616,8.48201438848921,aftershocks_word_aftershock_magnitude_liquefaction_continuing_fight,0.482014388489209,06/09/2010,2010-09,Press (Christchurch, N.Z.) (Newspaper),0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0.24220623501199,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.482014388489209,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.24220623501199,0.00239808153477218
DCDL-0015626,5.62757385854969,recovery_cera_damage_eqc_prime_rebuilding_back,0.627573858549687,21/09/2010,2010-09,Northern advocate (Newspaper),0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0.000895255147717099,0.269471799462847,0.000895255147717099,0.000895255147717099,0.627573858549687,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.000895255147717099,0.0456580125335721,0.000895255147717099,0.000895255147717099,0.0456580125335721,0.000895255147717099
DCDL-0015627,16.7917981072555,finance_government_billion_reading_cost_south_damage,0.79179810725552,17/09/2010,2010-09,Waikato times (Newspaper),0,0,0,0,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.160883280757098,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.00315457413249211,0.79179810725552,0.00315457413249211
DCDL-0015640,14.8930307941653,mayor_toilet_standing_anderton_paper_wife_toilets,0.893030794165316,14/09/2010,2010-09,Press (Christchurch, N.Z.) (Newspaper),0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0.0826580226904376,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.00162074554294976,0.893030794165316,0.00162074554294976,0.00162074554294976,0.00162074554294976
DCDL-0015642,7.57785467128028,people_called_replies_refugees_ken_ring_couple_heading,0.577854671280277,16/09/2010,2010-09,Press (Christchurch, N.Z.) (Newspaper),0,0,0,0,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.577854671280277,0.404844290657439,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558,0.00115340253748558
DCDL-0015644,8.61321909424725,aftershocks_word_aftershock_magnitude_liquefaction_continuing_fight,0.613219094247246,21/09/2010,2010-09,Press (Christchurch, N.Z.) (Newspaper),0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.613219094247246,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.00122399020807834,0.368421052631579
DCDL-0015664,17.489539748954,great_pike_river_south_island_weather_snow_aftershocks_represents,0.489539748953975,23/09/2010,2010-09,Southland times (Newspaper),0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.210599721059972,0.00139470013947001,0.00139470013947001,0.280334728033473,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.00139470013947001,0.489539748953975
