term,king_war_lacedaemonians_allies_athenians_son_country,athenians_city_arms_temple_death_commons_day,hundred_infantry_heavy_ships_thousand_son_athenians,wall_athenians_town_city_sea_place_army,athenians_lacedaemonians_treaty_allies_lacedaemon_alliance_athens,sicily_war_syracusans_allies_athenians_syracuse_country,athenians_enemy_syracusans_ships_battle_army_men,war_men_good_city_present_power_country,ships_fleet_athenians_sailed_sea_peloponnesians_put,athenians_alcibiades_tissaphernes_son_envoys_lacedaemonians_government,enemy_sea_athenians_force_war_land_numbers,country_athenians_allies_territory_lacedaemonians_town_city
time,0.0119389713109,0.00679413927702664,0.00283479960899316,0.00156720209481377,3.50238161950126e-06,0.00701270515892752,0.00241781970054266,0.00402988847113835,0.0087627095355867,0.00445005691519636,0.00508407906382142,0.00594316382192504
country,0.0149810455375111,5.65706850709962e-06,0.000262386170705356,3.90823465040841e-06,0.000178621462594564,0.0101776913686305,2.84115123448021e-06,0.00671542763261824,3.43500961802693e-06,3.55719977233921e-06,0.00475628544268529,0.0202401900404716
athenian,0.00140871437263069,0.00509701872489676,0.012352729330658,0.00430296635009966,0.0047317175679462,4.52140887100421e-06,0.00625337386709095,1.57972891851758e-06,0.00927796097829074,0.00551721684689812,0.00508407906382142,0.00726288931902164
sea,0.00187672579210933,5.65706850709962e-06,5.1448268765756e-06,0.0113377887208348,3.50238161950126e-06,0.00995162092508026,0.00341222263261073,1.57972891851758e-06,0.0156327287716406,3.55719977233921e-06,0.0116399514865441,0.00330371282773183
rest,0.00608882856741705,0.00424845844883181,0.00823686782939754,0.00625708367530387,0.00140445502942001,0.00384771894922458,0.00738983436088303,0.00418786136299011,0.00464069799395438,3.55719977233921e-06,3.27793621136133e-06,0.00924247756466655
army,0.00328076005054523,5.65706850709962e-06,5.1448268765756e-06,0.00996990659319186,3.50238161950126e-06,0.00362164850567437,0.0116515612126033,1.57972891851758e-06,0.00120568837592745,0.00551721684689812,0.00541187268495755,0.0110021115607954
hundred,4.68011419478635e-06,0.00509701872489676,0.0478520347790297,0.00254426075741588,3.50238161950126e-06,0.00497807116697563,0.00213370457709464,1.57972891851758e-06,3.43500961802693e-06,0.00249359704040979,3.27793621136133e-06,0.00220394158015133
land,0.00164272008237001,0.00424845844883181,5.1448268765756e-06,0.0037167311525384,3.50238161950126e-06,0.00836912782022878,0.00369633775605876,1.57972891851758e-06,0.00944971145919209,3.55719977233921e-06,0.00852591208575081,0.00550325532289284
put,4.68011419478635e-06,0.00651128585167166,5.1448268765756e-06,0.00449837808262008,0.00385612216307089,4.52140887100421e-06,0.00213370457709464,0.00245015955262077,0.012884721077219,0.00622865680136597,0.00164224604189202,4.39908499032201e-06
great,4.68011419478635e-06,5.65706850709962e-06,5.1448268765756e-06,0.00625708367530387,3.50238161950126e-06,0.00791698693312836,0.00625337386709095,0.00426684780891599,0.0013774388568288,0.00178215708594195,0.00819811846461468,4.39908499032201e-06
