identifier,king_war_lacedaemonians_allies_athenians_son_country,athenians_city_arms_temple_death_commons_day,hundred_infantry_heavy_ships_thousand_son_athenians,wall_athenians_town_city_sea_place_army,athenians_lacedaemonians_treaty_allies_lacedaemon_alliance_athens,sicily_war_syracusans_allies_athenians_syracuse_country,athenians_enemy_syracusans_ships_battle_army_men,war_men_good_city_present_power_country,ships_fleet_athenians_sailed_sea_peloponnesians_put,athenians_alcibiades_tissaphernes_son_envoys_lacedaemonians_government,enemy_sea_athenians_force_war_land_numbers,country_athenians_allies_territory_lacedaemonians_town_city
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.103.3,0.00151057401812689,0.00151057401812689,0.454682779456193,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.152567975830816,0.00151057401812689,0.379154078549849
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.104.1,0.00151057401812689,0.832326283987915,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.152567975830816
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.104.2,0.00058411214953271,0.73072429906542,0.00058411214953271,0.00058411214953271,0.0882009345794392,0.117406542056075,0.00058411214953271,0.00058411214953271,0.00058411214953271,0.0297897196261682,0.0297897196261682,0.00058411214953271
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.104.3,0.00151057401812689,0.303625377643505,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.681268882175227,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689,0.00151057401812689
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.104.4,0.00109649122807018,0.768640350877193,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.220394736842105,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.104.5,0.000899280575539568,0.495503597122302,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.000899280575539568,0.405575539568345,0.0908273381294964,0.000899280575539568,0.000899280575539568,0.000899280575539568
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.104.6,0.00109649122807018,0.549342105263158,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.330043859649123,0.110745614035088,0.00109649122807018
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.105.1,0.000708215297450425,0.000708215297450425,0.142351274787535,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.000708215297450425,0.85056657223796
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.105.2,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.43969298245614,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.00109649122807018,0.549342105263158
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.105.3,0.00140449438202247,0.00140449438202247,0.984550561797753,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247,0.00140449438202247
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.105.4,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.000988142292490119,0.0503952569169961,0.000988142292490119,0.099802371541502,0.099802371541502,0.000988142292490119,0.149209486166008,0.593873517786561
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.106.1,0.000792393026941363,0.000792393026941363,0.000792393026941363,0.000792393026941363,0.000792393026941363,0.000792393026941363,0.000792393026941363,0.000792393026941363,0.159270998415214,0.000792393026941363,0.000792393026941363,0.832805071315373
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.106.2,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.00216450216450216,0.976190476190476
urn:cts:greekLit:tlg0003.tlg001.perseus-eng3:3.106.3,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.117169373549884,0.00116009280742459,0.00116009280742459,0.00116009280742459,0.87122969837587
